OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_ID,FSQ_Category_Label,FSQ_Category_Primary,FSQ_Category_Secondary,Match_Score,Match_Quality
roofing,Construction & Contractors,Construction & Contractors,19009,Travel and Transportation > Lodging,Travel and Transportation , Lodging,0.571,Low
closet_remodeling,Construction & Contractors,Construction & Contractors,16021,Landmarks and Outdoors > Hot Spring,Landmarks and Outdoors , Hot Spring,0.519,Low
construction_services,Construction & Contractors,Construction & Contractors,11028,Business and Professional Services > Construction,Business and Professional Services , Construction,0.9,High
demolition_service,Construction & Contractors,Construction & Contractors,11171,Business and Professional Services > Translation Service,Business and Professional Services , Translation Service,0.703,Medium
carpenter,Construction & Contractors,Construction & Contractors,10034,Arts and Entertainment > Party Center,Arts and Entertainment , Party Center,0.667,Medium
excavation_service,Construction & Contractors,Construction & Contractors,11171,Business and Professional Services > Translation Service,Business and Professional Services , Translation Service,0.757,Medium
tiling,Construction & Contractors,Construction & Contractors,18054,Sports and Recreation > Skating,Sports and Recreation , Skating,0.615,Medium
road_contractor,Construction & Contractors,Construction & Contractors,19060,Travel and Transportation > Road,Travel and Transportation , Road,0.9,High
logging_contractor,Construction & Contractors,Construction & Contractors,11116,Business and Professional Services > Logging Service,Business and Professional Services , Logging Service,0.545,Low
well_drilling,Construction & Contractors,Construction & Contractors,16070,Landmarks and Outdoors > Well,Landmarks and Outdoors , Well,0.9,High
stone_and_masonry,Construction & Contractors,Construction & Contractors,17082,Retail > Furniture and Home Store,Retail , Furniture and Home Store,0.537,Low
boat_builder,Construction & Contractors,Construction & Contractors,19064,Travel and Transportation > Boat or Ferry,Travel and Transportation , Boat or Ferry,0.56,Low
paving_contractor,Construction & Contractors,Construction & Contractors,10005,Arts and Entertainment > Bingo Center,Arts and Entertainment , Bingo Center,0.552,Low
masonry_contractors,Construction & Contractors,Construction & Contractors,10034,Arts and Entertainment > Party Center,Arts and Entertainment , Party Center,0.516,Low
face_painting,Construction & Contractors,Construction & Contractors,14002,Event > Convention,Event , Convention,0.522,Low
waterproofing,Construction & Contractors,Construction & Contractors,16053,Landmarks and Outdoors > Waterfront,Landmarks and Outdoors , Waterfront,0.696,Medium
siding,Construction & Contractors,Construction & Contractors,18054,Sports and Recreation > Skating,Sports and Recreation , Skating,0.615,Medium
electrician,Construction & Contractors,Construction & Contractors,15054,Health and Medicine > Veterinarian,Health and Medicine , Veterinarian,0.609,Medium
insulation_installation,Construction & Contractors,Construction & Contractors,17131,Retail > Stationery Store,Retail , Stationery Store,0.513,Low
flooring_contractors,Construction & Contractors,Construction & Contractors,17081,Retail > Framing Store,Retail , Framing Store,0.545,Low
hvac_supplier,Construction & Contractors,Construction & Contractors,11132,Business and Professional Services > Paper Supplier,Business and Professional Services , Paper Supplier,0.741,Medium
altering_and_remodeling_contractor,Construction & Contractors,Construction & Contractors,18051,Sports and Recreation > Running and Track,Sports and Recreation , Running and Track,0.51,Low
building_contractor,Construction & Contractors,Construction & Contractors,10005,Arts and Entertainment > Bingo Center,Arts and Entertainment , Bingo Center,0.581,Low
masonry_concrete,Construction & Contractors,Construction & Contractors,10034,Arts and Entertainment > Party Center,Arts and Entertainment , Party Center,0.571,Low
septic_services,Construction & Contractors,Construction & Contractors,11133,Business and Professional Services > Pet Service,Business and Professional Services , Pet Service,0.769,Medium
hvac_services,Construction & Contractors,Construction & Contractors,11038,Business and Professional Services > Event Service,Business and Professional Services , Event Service,0.692,Medium
bathroom_remodeling,Construction & Contractors,Construction & Contractors,17093,Retail > Leather Goods Store,Retail , Leather Goods Store,0.474,Low
childproofing,Construction & Contractors,Construction & Contractors,16021,Landmarks and Outdoors > Hot Spring,Landmarks and Outdoors , Hot Spring,0.522,Low
builders,Construction & Contractors,Construction & Contractors,13038,Dining and Drinking > Cidery,Dining and Drinking , Cidery,0.571,Low
drywall_services,Construction & Contractors,Construction & Contractors,11156,Business and Professional Services > Rental Service,Business and Professional Services , Rental Service,0.733,Medium
vocal_coach,Education,Education,19065,Travel and Transportation > Cable Car,Travel and Transportation , Cable Car,0.6,Medium
science_schools,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.593,Low
cardio_classes,Education,Exercise/Wellness,17003,Retail > Arts and Crafts Store,Retail , Arts and Crafts Store,0.514,Low
law_schools,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.696,Medium
child_care_and_day_care,Education,Education,11025,Business and Professional Services > Child Care Service,Business and Professional Services , Child Care Service,0.634,Medium
cpr_classes,Education,Education,10054,Arts and Entertainment > VR Cafe,Arts and Entertainment , VR Cafe,0.556,Low
wine_tasting_classes,Education,Education,17092,Retail > Knitting Store,Retail , Knitting Store,0.529,Low
tutoring_center,Education,Education,10005,Arts and Entertainment > Bingo Center,Arts and Entertainment , Bingo Center,0.741,Medium
boat_rental_and_training,Education,Education,19003,Travel and Transportation > Boat Rental,Travel and Transportation , Boat Rental,0.9,High
architecture_schools,Education,Education,11003,Business and Professional Services > Architecture Firm,Business and Professional Services , Architecture Firm,0.703,Medium
parenting_classes,Education,Education,10018,Arts and Entertainment > Gaming Cafe,Arts and Entertainment , Gaming Cafe,0.571,Low
middle_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.64,Medium
school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.9,High
adult_education,Education,Education,12009,Community and Government > Education,Community and Government , Education,0.9,High
flight_school,Education,Education,10032,Arts and Entertainment > Night Club,Arts and Entertainment , Night Club,0.609,Medium
speech_training,Education,Education,19066,Travel and Transportation > Train,Travel and Transportation , Train,0.9,High
educational_camp,Education,Education,12009,Community and Government > Education,Community and Government , Education,0.9,High
educational_research_institute,Education,Education,12009,Community and Government > Education,Community and Government , Education,0.9,High
self_defense_classes,Education,Exercise/Wellness,17003,Retail > Arts and Crafts Store,Retail , Arts and Crafts Store,0.439,Low
day_care_preschool,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.533,Low
private_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.615,Medium
life_coach,Education,Education,16003,Landmarks and Outdoors > Beach,Landmarks and Outdoors , Beach,0.533,Low
montessori_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.552,Low
first_aid_class,Education,Education,17003,Retail > Arts and Crafts Store,Retail , Arts and Crafts Store,0.556,Low
vocational_and_technical_school,Education,Education,11194,"Business and Professional Services > Writing, Copywriting and Technical Writing Service",Business and Professional Services ," Writing, Copywriting and Technical Writing Service",0.519,Low
educational_services,Education,Education,12009,Community and Government > Education,Community and Government , Education,0.9,High
cooking_classes,Education,Education,12116,Community and Government > Polling Place,Community and Government , Polling Place,0.571,Low
business_schools,Education,Education,11182,Business and Professional Services > Business Service,Business and Professional Services , Business Service,0.688,Medium
engineering_schools,Education,Education,11034,Business and Professional Services > Engineer,Business and Professional Services , Engineer,0.9,High
preschool,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.571,Low
library,Education,Education,12080,Community and Government > Library,Community and Government , Library,1.0,High
dui_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.636,Medium
religious_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.571,Low
charter_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.615,Medium
after_school_program,Education,Education,10033,Arts and Entertainment > Pachinko Parlor,Arts and Entertainment , Pachinko Parlor,0.514,Low
research_institute,Education,Education,11158,Business and Professional Services > Research Station,Business and Professional Services , Research Station,0.706,Medium
elementary_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.621,Medium
education,Education,Education,12009,Community and Government > Education,Community and Government , Education,1.0,High
waldorf_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.615,Medium
pet_training,Education,Education,19066,Travel and Transportation > Train,Travel and Transportation , Train,0.9,High
high_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.609,Medium
school_district_offices,Education,Education,11020,Business and Professional Services > Office > Business and Strategy Consulting Office,Business and Professional Services , Office ,0.9,High
massage_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.692,Medium
tasting_classes,Education,Education,10018,Arts and Entertainment > Gaming Cafe,Arts and Entertainment , Gaming Cafe,0.615,Medium
cycling_classes,Education,Beauty & Wellness,18011,Sports and Recreation > Curling Ice,Sports and Recreation , Curling Ice,0.615,Medium
student_union,Education,Education,11028,Business and Professional Services > Construction,Business and Professional Services , Construction,0.56,Low
childbirth_education,Education,Education,12009,Community and Government > Education,Community and Government , Education,0.9,High
language_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.667,Medium
university_housing,Education,Education,12115,Community and Government > Utility Company,Community and Government , Utility Company,0.485,Low
music_school,Education,Education,17098,Retail > Music Store,Retail , Music Store,0.696,Medium
computer_coaching,Education,Education,19004,Travel and Transportation > Border Crossing,Travel and Transportation , Border Crossing,0.562,Low
college_counseling,Education,Education,11023,Business and Professional Services > Career Counselor,Business and Professional Services , Career Counselor,0.647,Medium
specialty_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.643,Medium
cosmetology_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.6,Medium
cooking_school,Education,Education,10050,Arts and Entertainment > Samba School,Arts and Entertainment , Samba School,0.538,Low
coach_bus,Education,Transportation,10009,Arts and Entertainment > Circus,Arts and Entertainment , Circus,0.533,Low
board_of_education_offices,Education,Education,11020,Business and Professional Services > Office > Business and Strategy Consulting Office,Business and Professional Services , Office ,0.9,High
college_university,Education,Education,11165,Business and Professional Services > Storage Facility,Business and Professional Services , Storage Facility,0.471,Low
swimming_instructor,Education,Education,17133,Retail > Swimming Pool Supply Store,Retail , Swimming Pool Supply Store,0.622,Medium
firearm_training,Education,Education,19066,Travel and Transportation > Train,Travel and Transportation , Train,0.9,High
photography_classes,Education,Education,11137,Business and Professional Services > Photography Service,Business and Professional Services , Photography Service,0.737,Medium
furniture_rental_service,Event Services,Event Services,11156,Business and Professional Services > Rental Service,Business and Professional Services , Rental Service,0.9,High
rental_service,Event Services,Event Services,11156,Business and Professional Services > Rental Service,Business and Professional Services , Rental Service,1.0,High
florist,Event Services,Event Services,16015,Landmarks and Outdoors > Forest,Landmarks and Outdoors , Forest,0.769,Medium
political_party_office,Event Services,Event Services,11020,Business and Professional Services > Office > Business and Strategy Consulting Office,Business and Professional Services , Office ,0.9,High
party_equipment_rental,Event Services,Event Services,11037,Business and Professional Services > Equipment Rental Service,Business and Professional Services , Equipment Rental Service,0.696,Medium
party_character,Event Services,Event Services,10034,Arts and Entertainment > Party Center,Arts and Entertainment , Party Center,0.741,Medium
wedding_planning,Event Services,Event Services,11177,Business and Professional Services > Wedding Hall,Business and Professional Services , Wedding Hall,0.643,Medium
party_bus_rental,Event Services,Event Services,19003,Travel and Transportation > Boat Rental,Travel and Transportation , Boat Rental,0.667,Medium
photo_booth_rental,Event Services,Event Services,19003,Travel and Transportation > Boat Rental,Travel and Transportation , Boat Rental,0.69,Medium
event_planning,Event Services,Event Services,14000,Event,Event,,0.9,High
dj_service,Event Services,Event Services,11133,Business and Professional Services > Pet Service,Business and Professional Services , Pet Service,0.762,Medium
party_and_event_planning,Event Services,Event Services,14000,Event,Event,,0.9,High
rental_services,Event Services,Event Services,11156,Business and Professional Services > Rental Service,Business and Professional Services , Rental Service,0.966,High
party_bike_rental,Event Services,Event Services,19002,Travel and Transportation > Bike Rental,Travel and Transportation , Bike Rental,0.9,High
wholesale_florist,Event Services,Event Services,11179,Business and Professional Services > Wholesaler,Business and Professional Services , Wholesaler,0.741,Medium
balloon_services,Event Services,Event Services,11116,Business and Professional Services > Logging Service,Business and Professional Services , Logging Service,0.71,Medium
credit_union,Financial Services,Financial Services,11152,Business and Professional Services > Recording Studio,Business and Professional Services , Recording Studio,0.571,Low
installment_loans,Financial Services,Financial Services,10020,Arts and Entertainment > Internet Cafe,Arts and Entertainment , Internet Cafe,0.533,Low
business_banking_service,Financial Services,Financial Services,11182,Business and Professional Services > Business Service,Business and Professional Services , Business Service,0.8,High
bank_credit_union,Financial Services,Financial Services,18000,Sports and Recreation,Sports and Recreation,,0.526,Low
currency_exchange,Financial Services,Financial Services,15008,Health and Medicine > Emergency Service,Health and Medicine , Emergency Service,0.529,Low
livestock_breeder,Financial Services,Financial Services,17136,Retail > Vape Store,Retail , Vape Store,0.519,Low
customs_broker,Financial Services,Financial Services,17035,Retail > Drugstore,Retail , Drugstore,0.522,Low
debt_relief_services,Financial Services,Financial Services,11164,Business and Professional Services > Shoe Repair Service,Business and Professional Services , Shoe Repair Service,0.667,Medium
farm_insurance,Financial Services,Financial Services,16014,Landmarks and Outdoors > Farm,Landmarks and Outdoors , Farm,0.9,High
atms,Financial Services,Financial Services,16056,Landmarks and Outdoors > Dam,Landmarks and Outdoors , Dam,0.571,Low
real_estate_investment,Financial Services,Financial Services,11145,Business and Professional Services > Real Estate Service,Business and Professional Services , Real Estate Service,0.683,Medium
insurance_agency,Financial Services,Financial Services,11107,Business and Professional Services > Insurance Agency,Business and Professional Services , Insurance Agency,1.0,High
stock_and_bond_brokers,Financial Services,Financial Services,16020,Landmarks and Outdoors > Historic and Protected Site,Landmarks and Outdoors , Historic and Protected Site,0.531,Low
abuse_and_addiction_treatment,Financial Services,Financial Services,12001,Community and Government > Addiction Treatment Center,Community and Government , Addiction Treatment Center,0.691,Medium
banks,Financial Services,Financial Services,13002,Dining and Drinking > Bakery,Dining and Drinking , Bakery,0.545,Low
water_treatment_equipment_and_services,Financial Services,Financial Services,11176,Business and Professional Services > Water Treatment Service,Business and Professional Services , Water Treatment Service,0.754,Medium
alcohol_and_drug_treatment_centers,Financial Services,Financial Services,12001,Community and Government > Addiction Treatment Center,Community and Government , Addiction Treatment Center,0.7,Medium
alcohol_and_drug_treatment_center,Financial Services,Financial Services,12001,Community and Government > Addiction Treatment Center,Community and Government , Addiction Treatment Center,0.712,Medium
bank_equipment_service,Financial Services,Financial Services,11037,Business and Professional Services > Equipment Rental Service,Business and Professional Services , Equipment Rental Service,0.739,Medium
business_brokers,Financial Services,Financial Services,11021,Business and Professional Services > Business Center,Business and Professional Services , Business Center,0.71,Medium
life_insurance,Financial Services,Financial Services,11107,Business and Professional Services > Insurance Agency,Business and Professional Services , Insurance Agency,0.6,Medium
lice_treatment,Financial Services,Financial Services,12001,Community and Government > Addiction Treatment Center,Community and Government , Addiction Treatment Center,0.6,Medium
tax_office,Financial Services,Financial Services,11020,Business and Professional Services > Office > Business and Strategy Consulting Office,Business and Professional Services , Office ,0.9,High
brokers,Financial Services,Financial Services,13002,Dining and Drinking > Bakery,Dining and Drinking , Bakery,0.615,Medium
pet_insurance,Financial Services,Financial Services,11107,Business and Professional Services > Insurance Agency,Business and Professional Services , Insurance Agency,0.621,Medium
cancer_treatment_center,Financial Services,Financial Services,12001,Community and Government > Addiction Treatment Center,Community and Government , Addiction Treatment Center,0.776,Medium
mortgage_broker,Financial Services,Financial Services,19001,Travel and Transportation > Baggage Locker,Travel and Transportation , Baggage Locker,0.621,Medium
mortgage_lender,Financial Services,Financial Services,10022,Arts and Entertainment > Laser Tag Center,Arts and Entertainment , Laser Tag Center,0.581,Low
home_and_rental_insurance,Financial Services,Financial Services,11037,Business and Professional Services > Equipment Rental Service,Business and Professional Services , Equipment Rental Service,0.571,Low
check_cashing_payday_loans,Financial Services,Financial Services,17106,Retail > Packaging Supply Store,Retail , Packaging Supply Store,0.458,Low
bail_bonds_service,Financial Services,Financial Services,11182,Business and Professional Services > Business Service,Business and Professional Services , Business Service,0.706,Medium
thai_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
hookah_bar,Food & Dining,Food & Dining,13003,Dining and Drinking > Bar,Dining and Drinking , Bar,0.9,High
ice_cream_and_frozen_yoghurt,Food & Dining,Food & Dining,10046,Arts and Entertainment > Psychic and Astrologer,Arts and Entertainment , Psychic and Astrologer,0.48,Low
champagne_bar,Food & Dining,Food & Dining,13003,Dining and Drinking > Bar,Dining and Drinking , Bar,0.9,High
undersea_hyperbaric_medicine,Food & Dining,Healthcare & Medical,13003,Dining and Drinking > Bar,Dining and Drinking , Bar,0.9,High
halal_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
irish_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
brasserie,Food & Dining,Food & Dining,11156,Business and Professional Services > Rental Service,Business and Professional Services , Rental Service,0.609,Medium
public_phones,Food & Dining,Other Services,12092,Community and Government > Public Bathroom,Community and Government , Public Bathroom,0.643,Medium
venezuelan_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
eastern_european_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
specialty_foods,Food & Dining,Food & Dining,11162,Business and Professional Services > Security and Safety,Business and Professional Services , Security and Safety,0.471,Low
speakeasy,Food & Dining,Food & Dining,13002,Dining and Drinking > Bakery,Dining and Drinking , Bakery,0.533,Low
scandinavian_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
danish_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
b2b_food_products,Food & Dining,Business-to-Business,13054,Dining and Drinking > Food Truck,Dining and Drinking , Food Truck,0.593,Low
seafood_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
fish_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
afghan_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
barbecue_restaurant,Food & Dining,Food & Dining,13003,Dining and Drinking > Bar,Dining and Drinking , Bar,0.9,High
pasta_shop,Food & Dining,Food & Dining,17108,Retail > Pawn Shop,Retail , Pawn Shop,0.737,Medium
honduran_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
malaysian_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
coffee_and_tea_supplies,Food & Dining,Business-to-Business,13032,"Dining and Drinking > Cafe, Coffee, and Tea House",Dining and Drinking ," Cafe, Coffee, and Tea House",0.68,Medium
european_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
vermouth_bar,Food & Dining,Food & Dining,13003,Dining and Drinking > Bar,Dining and Drinking , Bar,0.9,High
coffee_shop,Food & Dining,Food & Dining,17146,Retail > Smoke Shop,Retail , Smoke Shop,0.667,Medium
bartender,Food & Dining,Food & Dining,13003,Dining and Drinking > Bar,Dining and Drinking , Bar,0.9,High
sandwich_shop,Food & Dining,Food & Dining,11118,Business and Professional Services > Machine Shop,Business and Professional Services , Machine Shop,0.64,Medium
frozen_foods,Food & Dining,Food & Dining,13053,Dining and Drinking > Food Stand,Dining and Drinking , Food Stand,0.455,Low
argentine_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
poke_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
barre_classes,Food & Dining,Beauty & Wellness,13003,Dining and Drinking > Bar,Dining and Drinking , Bar,0.9,High
cajun_and_creole_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
food_stand,Food & Dining,Food & Dining,13053,Dining and Drinking > Food Stand,Dining and Drinking , Food Stand,1.0,High
texmex_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
diner,Food & Dining,Food & Dining,13387,Dining and Drinking > Winery,Dining and Drinking , Winery,0.727,Medium
diy_foods_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
food_consultant,Food & Dining,Food & Dining,13052,Dining and Drinking > Food Court,Dining and Drinking , Food Court,0.72,Medium
food_and_beverage_exporter,Food & Dining,Food & Dining,19023,Travel and Transportation > Port,Travel and Transportation , Port,0.9,High
gastropub,Food & Dining,Food & Dining,10052,Arts and Entertainment > Strip Club,Arts and Entertainment , Strip Club,0.632,Medium
barber,Food & Dining,Food & Dining,13003,Dining and Drinking > Bar,Dining and Drinking , Bar,0.9,High
cidery,Food & Dining,Food & Dining,13038,Dining and Drinking > Cidery,Dining and Drinking , Cidery,1.0,High
puerto_rican_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
armenian_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
sake_bar,Food & Dining,Food & Dining,13003,Dining and Drinking > Bar,Dining and Drinking , Bar,0.9,High
topic_publisher,Food & Dining,Food & Dining,11143,Business and Professional Services > Publisher,Business and Professional Services , Publisher,0.9,High
food_beverage_service_distribution,Food & Dining,Food & Dining,11056,Business and Professional Services > Food and Beverage Service,Business and Professional Services , Food and Beverage Service,0.712,Medium
breakfast_and_brunch_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
beer_bar,Food & Dining,Food & Dining,13003,Dining and Drinking > Bar,Dining and Drinking , Bar,0.9,High
indo_chinese_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
egyptian_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
belgian_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
irish_pub,Food & Dining,Food & Dining,10032,Arts and Entertainment > Night Club,Arts and Entertainment , Night Club,0.526,Low
gluten_free_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
vietnamese_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
cheese_shop,Food & Dining,Food & Dining,11118,Business and Professional Services > Machine Shop,Business and Professional Services , Machine Shop,0.696,Medium
cigar_bar,Food & Dining,Food & Dining,13003,Dining and Drinking > Bar,Dining and Drinking , Bar,0.9,High
cuban_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
game_publisher,Food & Dining,Food & Dining,11143,Business and Professional Services > Publisher,Business and Professional Services , Publisher,0.9,High
sri_lankan_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
beach_bar,Food & Dining,Food & Dining,13003,Dining and Drinking > Bar,Dining and Drinking , Bar,0.9,High
chicken_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
sports_bar,Food & Dining,Food & Dining,13003,Dining and Drinking > Bar,Dining and Drinking , Bar,0.9,High
south_african_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
nicaraguan_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
public_bath_houses,Food & Dining,Food & Dining,12092,Community and Government > Public Bathroom,Community and Government , Public Bathroom,0.727,Medium
african_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
bistro,Food & Dining,Food & Dining,11143,Business and Professional Services > Publisher,Business and Professional Services , Publisher,0.533,Low
hawaiian_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
fish_and_chips_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,1.0,High
israeli_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
dim_sum_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
shaved_ice_shop,Food & Dining,Food & Dining,13381,Dining and Drinking > Smoothie Shop,Dining and Drinking , Smoothie Shop,0.643,Medium
polynesian_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
restaurant_equipment_and_supply,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
public_utility_company,Food & Dining,Food & Dining,12115,Community and Government > Utility Company,Community and Government , Utility Company,0.9,High
syrian_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
czech_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
eat_and_drink,Food & Dining,Food & Dining,15000,Health and Medicine,Health and Medicine,,0.688,Medium
drive_thru_bar,Food & Dining,Food & Dining,13003,Dining and Drinking > Bar,Dining and Drinking , Bar,0.9,High
distillery,Food & Dining,Food & Dining,13050,Dining and Drinking > Distillery,Dining and Drinking , Distillery,1.0,High
cafe,Food & Dining,Food & Dining,10018,Arts and Entertainment > Gaming Cafe,Arts and Entertainment , Gaming Cafe,0.9,High
public_health_clinic,Food & Dining,Food & Dining,15011,Health and Medicine > Healthcare Clinic,Health and Medicine , Healthcare Clinic,0.703,Medium
basque_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
southern_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
pop_up_restaurant,Food & Dining,Food & Dining,13026,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking , Restaurant ,0.9,High
public_and_government_association,Food & Dining,Food & Dining,12000,Community and Government,Community and Government,,0.596,Low
publicity_service,Food & Dining,Food & Dining,11133,Business and Professional Services > Pet Service,Business and Professional Services , Pet Service,0.714,Medium
soul_food,Food & Dining,Food & Dining,19026,Travel and Transportation > Toll Booth,Travel and Transportation , Toll Booth,0.526,Low
