OM_Category,Best_Match_FSQ_Category_Label,Best_Match_FSQ_Category_Name,Best_Match_FSQ_Category_ID,Confidence_Score,Alternative_1_FSQ_Label,Alternative_1_Score,Alternative_2_FSQ_Label,Alternative_2_Score,Alternative_3_FSQ_Label,Alternative_3_Score,Alternative_4_FSQ_Label,Alternative_4_Score
chicken_restaurant,Dining and Drinking > Restaurant > Fried Chicken Joint,Fried Chicken Joint,4d4ae6fc7a7b7dea34424761,58.56,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant,56.33,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Henan Restaurant,55.94,Dining and Drinking > Restaurant > French Restaurant > Ch'ti Restaurant,55.94,Dining and Drinking > Restaurant > French Restaurant > Corsican Restaurant,55.43
chicken_wings_restaurant,Dining and Drinking > Restaurant > Wings Joint,Wings Joint,4bf58dd8d48988d14c941735,47.95,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant,46.81,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Henan Restaurant,46.33,Dining and Drinking > Restaurant > Fried Chicken Joint,46.08,Dining and Drinking > Restaurant > Jewish Restaurant,45.6
child_care_and_day_care,Business and Professional Services > Child Care Service,Child Care Service,5744ccdfe4b0c0459246b4c7,55.03,Business and Professional Services > Child Care Service > Daycare,46.94,Business and Professional Services > Health and Beauty Service > Skin Care Clinic,34.79,Health and Medicine > Home Health Care Service,33.35,Health and Medicine > Urgent Care Center,31.94
child_protection_service,Business and Professional Services > Child Care Service,Child Care Service,5744ccdfe4b0c0459246b4c7,60.14,Business and Professional Services > Financial Service > Collections Service,46.1,Business and Professional Services > Child Care Service > Daycare,45.85,Community and Government > Disabled Persons Service,43.0,Travel and Transportation > Transportation Service,42.42
child_psychiatrist,Health and Medicine > Physician > Psychiatrist,Psychiatrist,63be6904847c3692a84b9bd9,55.0,Business and Professional Services > Child Care Service,40.78,Business and Professional Services > Child Care Service > Daycare,33.6,Retail > Fashion Retail > Children's Clothing Store,23.47,Health and Medicine > Podiatrist,22.86
childbirth_education,Community and Government > Education > Adult Education,Adult Education,56aa371ce4b08b9a8d573570,50.43,Community and Government > Education,47.83,Community and Government > Education > Preschool,40.65,Community and Government > Education > Art School,40.39,Community and Government > Education > Music School,39.9
childproofing,Retail > Fashion Retail > Children's Clothing Store,Children's Clothing Store,4bf58dd8d48988d105951735,21.05,Landmarks and Outdoors > Hot Spring,20.87,Business and Professional Services > Office > Office Building,20.0,Sports and Recreation > Water Sports > Surfing,20.0,Travel and Transportation > Lodging,20.0
childrens_clothing_store,Retail > Fashion Retail > Children's Clothing Store,Children's Clothing Store,4bf58dd8d48988d105951735,68.85,Retail > Fashion Retail > Clothing Store,59.14,Retail > Sporting Goods Retail > Fishing Store,42.28,Retail > Sporting Goods Retail > Running Store,40.12,Retail > Furniture and Home Store > Lighting Store,39.49
childrens_hospital,Health and Medicine > Hospital > Children's Hospital,Children's Hospital,63be6904847c3692a84b9bc0,61.92,Health and Medicine > Hospital,47.62,Health and Medicine > Hospital > Hospital Unit,43.65,Retail > Fashion Retail > Children's Clothing Store,22.33,Business and Professional Services > Machine Shop,21.33
childrens_museum,Arts and Entertainment > Museum > Science Museum,Science Museum,4bf58dd8d48988d191941735,52.33,Arts and Entertainment > Museum > History Museum,49.67,Arts and Entertainment > Museum > Art Museum,47.62,Arts and Entertainment > Museum > Erotic Museum,45.07,Arts and Entertainment > Museum,44.82
chilean_restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Henan Restaurant,Henan Restaurant,52af3ad23cf9994f4e043bf4,58.29,Dining and Drinking > Restaurant > German Restaurant > Silesian Restaurant,57.59,Dining and Drinking > Restaurant > Italian Restaurant > Sicilian Restaurant,57.59,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Hainan Restaurant,57.29,Dining and Drinking > Restaurant > Greek Restaurant > Cretan Restaurant,57.29
chimney_service,Business and Professional Services > Home Improvement Service > Home Service,Home Service,545419b1498ea6ccd0202f58,55.59,Business and Professional Services > Home Improvement Service > Chimney Sweep,54.43,Travel and Transportation > Transportation Service > Limo Service,52.63,Business and Professional Services > Automotive Service > Oil Change Service,52.09,Business and Professional Services > Child Care Service,52.09
chimney_sweep,Business and Professional Services > Home Improvement Service > Chimney Sweep,Chimney Sweep,63be6904847c3692a84b9b4f,86.0,Business and Professional Services > Machine Shop,25.6,Business and Professional Services > Home Improvement Service > Home Service,22.4,Dining and Drinking > Restaurant > Indian Restaurant > Indian Sweet Shop,21.33,Retail > Food and Beverage Retail > Wine Store,20.87
chinese_martial_arts_club,Sports and Recreation > Martial Arts Dojo,Martial Arts Dojo,4bf58dd8d48988d101941735,47.76,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Chinese Aristocrat Restaurant,36.7,Arts and Entertainment > Night Club,35.0,Arts and Entertainment > Salsa Club,35.0,Arts and Entertainment > Strip Club,35.0
chinese_restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant,Chinese Restaurant,4bf58dd8d48988d145941735,86.0,Dining and Drinking > Restaurant > Indian Chinese Restaurant,79.49,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Chinese Breakfast Restaurant,74.3,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Chinese Aristocrat Restaurant,73.64,Dining and Drinking > Restaurant > Asian Restaurant > Indonesian Restaurant > Acehnese Restaurant,59.76
chiropractor,Health and Medicine > Chiropractor,Chiropractor,52e81612bcbc57f1066b7a3a,86.0,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Churrascaria,23.33,Business and Professional Services > Home Improvement Service > Bathroom Contractor,23.23,Business and Professional Services > Home Improvement Service > Fence Contractor,22.86,Business and Professional Services > Home Improvement Service > Sewer Contractor,22.86
chocolatier,Retail > Food and Beverage Retail > Chocolate Store,Chocolate Store,52f2ab2ebcbc57f1066b8b31,30.77,Business and Professional Services > Wholesaler,22.86,Arts and Entertainment > Performing Arts Venue > Theater,22.22,Business and Professional Services > Food and Beverage Service > Caterer,22.22,Travel and Transportation > Transportation Service > Charter Bus,21.82
choir,Arts and Entertainment > Circus,Circus,52e81612bcbc57f1066b79e7,21.82,Community and Government > Spiritual Center > Church,21.82,Dining and Drinking > Cidery,21.82,Business and Professional Services > Factory,20.0,Community and Government > Organization > Charity,20.0
christmas_trees,Event > Marketplace > Christmas Market,Christmas Market,52f2ab2ebcbc57f1066b8b3b,51.39,Retail > Costume Store,22.86,Community and Government > Spiritual Center > Buddhist Temple,21.33,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Chinese Aristocrat Restaurant,20.0,Landmarks and Outdoors > States and Municipalities > State,20.0
church_cathedral,Community and Government > Spiritual Center > Church,Church,4bf58dd8d48988d132941735,44.82,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Churrascaria,22.86,Business and Professional Services > Office > Corporate Cafeteria,20.57,Business and Professional Services > Financial Service > Check Cashing Service,19.46,Community and Government > Education > College and University > College Cafeteria,19.39
cidery,Dining and Drinking > Cidery,Cidery,5e189fd6eee47d000759bbfd,86.0,Dining and Drinking > Winery,26.67,Dining and Drinking > Meadery,24.62,Landmarks and Outdoors > States and Municipalities > City,24.0,Travel and Transportation > Pier,24.0
cigar_bar,Dining and Drinking > Bar > Gay Bar,Gay Bar,4bf58dd8d48988d1d8941735,50.0,Dining and Drinking > Bar > Piano Bar,46.67,Dining and Drinking > Bar > Ice Bar,45.0,Dining and Drinking > Bar > Karaoke Bar,44.0,Dining and Drinking > Bar > Beer Bar,43.53
cinema,Event > Line,Line,58daa1558bbb0b01f18ec1fa,24.0,Dining and Drinking > Bar > Wine Bar,22.86,Dining and Drinking > Vineyard,22.86,Dining and Drinking > Restaurant > Diner,21.82,Landmarks and Outdoors > Canal,21.82
circus,Arts and Entertainment > Circus,Circus,52e81612bcbc57f1066b79e7,86.0,Community and Government > Education > Circus School,71.26,Arts and Entertainment > Museum > Science Museum,20.0,Community and Government > Government Building > Courthouse,20.0,Community and Government > Spiritual Center > Church,20.0
circus_school,Community and Government > Education > Circus School,Circus School,52e81612bcbc57f1066b7a43,86.0,Community and Government > Education > Music School,51.8,Community and Government > Education > Art School,50.83,Community and Government > Education > Religious School,50.59,Community and Government > Education > Nursery School,49.67
civic_center,Sports and Recreation > Skydiving Center,Skydiving Center,63be6904847c3692a84b9c18,51.57,Health and Medicine > Medical Center,50.69,Arts and Entertainment > Bingo Center,49.67,Community and Government > Community Center,48.71,Community and Government > Spiritual Center,48.71
civil_engineers,Business and Professional Services > Engineer,Engineer,63be6904847c3692a84b9b3a,27.83,Business and Professional Services > Convention Center,22.5,Arts and Entertainment > Movie Theater > Drive-in Theater,20.65,Community and Government > Spiritual Center,20.65,Sports and Recreation > Skydiving Center,20.65
civil_rights_lawyers,Landmarks and Outdoors > Lighthouse,Lighthouse,4bf58dd8d48988d15d941735,18.67,Arts and Entertainment > Movie Theater > Drive-in Theater,17.78,Event > Marketplace > Christmas Market,17.78,Landmarks and Outdoors > States and Municipalities > Village,17.78,Retail > Automotive Retail > Car Parts and Accessories,17.78
civilization_museum,Arts and Entertainment > Museum > Art Museum,Art Museum,4bf58dd8d48988d18f941735,47.83,Arts and Entertainment > Museum > History Museum,47.24,Arts and Entertainment > Museum > Science Museum,47.24,Arts and Entertainment > Museum > Erotic Museum,45.5,Arts and Entertainment > Museum,42.2
cleaning_products_supplier,Business and Professional Services > Leather Supplier,Leather Supplier,63be6904847c3692a84b9b6a,41.1,Business and Professional Services > Paper Supplier,38.33,Business and Professional Services > Petroleum Supplier,38.15,Business and Professional Services > Scientific Equipment Supplier,38.15,Business and Professional Services > Metals Supplier,37.8
cleaning_services,Business and Professional Services > Home Improvement Service > Professional Cleaning Service,Professional Cleaning Service,63be6904847c3692a84b9b60,54.64,Business and Professional Services,44.96,Community and Government > Organization > Social Services Organization,42.56,Business and Professional Services > Office,41.67,Business and Professional Services > Tailor,41.67
climbing_class,Sports and Recreation > Gym and Studio > Climbing Gym,Climbing Gym,503289d391d4c4b30a586d6a,50.69,Landmarks and Outdoors > Rock Climbing Spot,48.0,Community and Government > Education > College and University > College Classroom,26.23,Sports and Recreation > Baseball > Batting Cages,23.7,Sports and Recreation > Water Sports > Swimming > Swimming Club,23.7
climbing_service,Travel and Transportation > Transportation Service > Limo Service,Limo Service,63be6904847c3692a84b9c2c,54.43,Business and Professional Services > Logging Service,53.97,Business and Professional Services > Welding Service,53.97,Business and Professional Services > Automotive Service > Towing Service,52.33,Business and Professional Services > Technology Business > IT Service,50.69
clinical_laboratories,Business and Professional Services > Laboratory,Laboratory,63be6904847c3692a84b9b69,23.23,Business and Professional Services > Research Laboratory,22.0,Retail > Comic Book Store,21.62,Community and Government > Education > College and University > College Bookstore,21.05,Retail > Fashion Retail > Clothing Store,20.57
clock_repair_service,Business and Professional Services > Repair Service,Repair Service,52f2ab2ebcbc57f1066b8b2f,62.61,Business and Professional Services > Shoe Repair Service,62.49,Business and Professional Services > Computer Repair Service,61.29,Business and Professional Services > Creative Service,45.22,Business and Professional Services > Child Care Service,43.7
closet_remodeling,Business and Professional Services > Home Improvement Service > Kitchen Remodeler,Kitchen Remodeler,63be6904847c3692a84b9b5a,23.53,Event > Marketplace > Street Food Gathering,21.05,Landmarks and Outdoors > Hot Spring,20.74,Retail > Cosmetics Store,20.0,Travel and Transportation > Lodging,20.0
clothing_company,Retail > Fashion Retail > Clothing Store,Clothing Store,4bf58dd8d48988d103951735,49.67,Community and Government > Utility Company,48.81,Business and Professional Services > Technology Business > Software Company,48.0,Business and Professional Services > Mobile Company,47.0,Retail > Fashion Retail > Children's Clothing Store,42.51
clothing_rental,Retail > Fashion Retail > Clothing Store,Clothing Store,4bf58dd8d48988d103951735,53.34,Travel and Transportation > Boat Rental,50.69,Travel and Transportation > Lodging > Vacation Rental,49.67,Travel and Transportation > Bike Rental,47.62,Retail > Fashion Retail > Children's Clothing Store,45.0
clothing_store,Retail > Fashion Retail > Clothing Store,Clothing Store,4bf58dd8d48988d103951735,86.0,Retail > Fashion Retail > Children's Clothing Store,74.72,Retail > Furniture and Home Store > Lighting Store,54.43,Retail > Sporting Goods Retail > Fishing Store,52.63,Retail > Fashion Retail > Lingerie Store,51.57
clown,Landmarks and Outdoors > States and Municipalities > Town,Town,530e33ccbcbc57f1066bbff3,26.67,Dining and Drinking > Bar > Lounge,21.82,Landmarks and Outdoors > States and Municipalities > County,21.82,Landmarks and Outdoors > States and Municipalities > Country,20.0,Travel and Transportation > Lodging,20.0
club_crawl,Community and Government > Organization > Club House,Club House,52e81612bcbc57f1066b7a35,43.0,Arts and Entertainment > Performing Arts Venue > Music Venue > Rock Club,39.84,Sports and Recreation > Golf > Golf Club,39.84,Arts and Entertainment > Night Club,39.0,Arts and Entertainment > Salsa Club,39.0
coach_bus,Travel and Transportation > Transportation Service > Charter Bus,Charter Bus,63be6904847c3692a84b9c2b,44.0,Travel and Transportation > Transport Hub > Bus Stop,34.12,Travel and Transportation > Transportation Service > Public Transportation > Bus Line,34.12,Travel and Transportation > Transport Hub > Bus Station,32.0,Dining and Drinking > Bar > Beach Bar,22.22
coal_and_coke,Retail > Food and Beverage Retail > Candy Store,Candy Store,4bf58dd8d48988d117951735,23.33,Health and Medicine,22.5,Retail > Arts and Crafts Store,21.18,Landmarks and Outdoors > Palace,21.05,Retail > Automotive Retail > Car Parts and Accessories,21.05
cocktail_bar,Dining and Drinking > Bar > Cocktail Bar,Cocktail Bar,4bf58dd8d48988d11e941735,86.0,Dining and Drinking > Bar > Hotel Bar,46.67,Dining and Drinking > Bar > Hookah Bar,45.45,Dining and Drinking > Bar > Tiki Bar,44.0,Dining and Drinking > Bar > Sports Bar,41.82
coffee_and_tea_supplies,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",Coffee Shop,4bf58dd8d48988d1e0931735,45.48,"Dining and Drinking > Cafe, Coffee, and Tea House",43.53,Retail > Food and Beverage Retail > Coffee Roaster,37.95,Retail > Pet Supplies Store,37.8,Retail > Construction Supplies Store,37.13
coffee_roastery,Retail > Food and Beverage Retail > Coffee Roaster,Coffee Roaster,5e18993feee47d000759b256,61.62,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",47.62,Business and Professional Services > Office > Corporate Coffee Shop,40.78,Community and Government > Cemetery,24.35,Dining and Drinking > Restaurant > Turkish Restaurant > Turkish Coffeehouse,24.18
coffee_shop,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",Coffee Shop,4bf58dd8d48988d1e0931735,86.0,Business and Professional Services > Office > Corporate Coffee Shop,73.5,Dining and Drinking > Dessert Shop > Waffle Shop,52.09,Retail > Smoke Shop,49.67,Retail > Food and Beverage Retail > Coffee Roaster,48.6
coin_dealers,Retail > Automotive Retail > Car Dealership,Car Dealership,4eb1c1623b7b52c0e1adc2ec,30.69,Retail > Automotive Retail > Moped Dealership,28.71,Retail > Automotive Retail > Car Dealership > New Car Dealership,27.0,Retail > Automotive Retail > Car Dealership > Used Car Dealership,26.23,Retail > Automotive Retail > Motor Scooter Dealership,25.22
collection_agencies,Business and Professional Services > Financial Service > Collections Service,Collections Service,63be6904847c3692a84b9b41,32.47,Business and Professional Services > Convention Center,24.44,Sports and Recreation > Recreation Center,22.22,Business and Professional Services > Advertising Agency,21.62,Business and Professional Services > Financial Service > Loans Agency,20.65
college_counseling,Community and Government > Education > College and University > College Communications Building,College Communications Building,4bf58dd8d48988d19a941735,50.76,Community and Government > Education > College and University > College Arts Building,49.67,Community and Government > Education > College and University > College History Building,49.67,Community and Government > Education > College and University > College Math Building,49.67,Community and Government > Education > College and University > College Science Building,49.67
college_university,Community and Government > Education > College and University,College and University,4d4b7105d754a06372d81259,79.0,Community and Government > Education > College and University > General College & University,74.3,Community and Government > Education > College and University > Law School,58.65,Community and Government > Education > College and University > University,58.65,Community and Government > Education > College and University > College Gym,58.48
colombian_restaurant,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Colombian Restaurant,Colombian Restaurant,58daa1558bbb0b01f18ec1f4,86.0,Dining and Drinking > Restaurant > Asian Restaurant > Cambodian Restaurant,57.0,Dining and Drinking > Restaurant > Italian Restaurant > Lombard Restaurant,56.68,Dining and Drinking > Restaurant > Italian Restaurant > Umbrian Restaurant,56.68,Dining and Drinking > Restaurant > Caribbean Restaurant > Cuban Restaurant,56.33
colonics,Health and Medicine > Physician > Oncologist,Oncologist,63be6904847c3692a84b9bd2,26.67,Health and Medicine > Mental Health Service > Psychologist,24.0,Health and Medicine > Physician > Cardiologist,24.0,Health and Medicine > Physician > Urologist,23.53,Arts and Entertainment > Circus,22.86
comedy_club,Arts and Entertainment > Comedy Club,Comedy Club,4bf58dd8d48988d18e941735,86.0,Sports and Recreation > Hockey > Hockey Club,52.09,Arts and Entertainment > Country Club,50.83,Sports and Recreation > Soccer > Soccer Club,48.45,Arts and Entertainment > Performing Arts Venue > Music Venue > Rock Club,47.0
comfort_food_restaurant,Dining and Drinking > Restaurant > Comfort Food Restaurant,Comfort Food Restaurant,52e81612bcbc57f1066b7a00,86.0,Dining and Drinking > Restaurant > Fast Food Restaurant,63.16,Dining and Drinking > Restaurant > Southern Food Restaurant,60.3,Dining and Drinking > Restaurant > Italian Restaurant > Lombard Restaurant,45.6,Dining and Drinking > Restaurant > Seafood Restaurant,45.6
comic_books_store,Retail > Comic Book Store,Comic Book Store,52f2ab2ebcbc57f1066b8b18,68.45,Retail > Cosmetics Store,46.33,Retail > Big Box Store,43.0,Retail > Computers and Electronics Retail > Electronics Store,42.22,Retail > Music Store,42.05
commercial_industrial,Business and Professional Services > Real Estate Service > Commercial Real Estate Developer,Commercial Real Estate Developer,63be6904847c3692a84b9b85,44.13,Business and Professional Services > Industrial Estate,44.05,Business and Professional Services > Industrial Equipment Supplier,39.0,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Imperial Restaurant,22.0,Retail > Computers and Electronics Retail > Camera Store,21.82
commercial_printer,Business and Professional Services > Real Estate Service > Commercial Real Estate Developer,Commercial Real Estate Developer,63be6904847c3692a84b9b85,47.0,Landmarks and Outdoors > Memorial Site,25.81,Health and Medicine > Medical Center,25.0,Sports and Recreation > Personal Trainer,23.53,Community and Government > Residential Building > Home (private),22.5
commercial_real_estate,Business and Professional Services > Real Estate Service > Commercial Real Estate Developer,Commercial Real Estate Developer,63be6904847c3692a84b9b85,78.59,Business and Professional Services > Real Estate Service > Real Estate Agency,51.67,Business and Professional Services > Real Estate Service,51.13,Business and Professional Services > Real Estate Service > Real Estate Appraiser,50.13,Business and Professional Services > Real Estate Service > Real Estate Development and Title Company,43.63
commercial_refrigeration,Business and Professional Services > Real Estate Service > Commercial Real Estate Developer,Commercial Real Estate Developer,63be6904847c3692a84b9b85,44.43,Business and Professional Services > Refrigeration and Ice Supplier,42.26,Sports and Recreation,23.11,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Imperial Restaurant,22.33,Health and Medicine > Physician > Oral Surgeon,22.22
commercial_vehicle_dealer,Business and Professional Services > Real Estate Service > Commercial Real Estate Developer,Commercial Real Estate Developer,63be6904847c3692a84b9b85,44.4,Travel and Transportation > Electric Vehicle Charging Station,35.64,Business and Professional Services > Automotive Service > Vehicle Inspection Station,32.02,Retail > Automotive Retail > Motorcycle Dealership,25.61,Retail > Automotive Retail > Car Dealership,21.46
commissioned_artist,Business and Professional Services > Telecommunication Service,Telecommunication Service,63be6904847c3692a84b9b93,20.0,Business and Professional Services > Automotive Service > Transmissions Shop,19.46,Health and Medicine > Podiatrist,19.31,Retail > Cosmetics Store,18.82,Health and Medicine > Optometrist,18.67
community_center,Community and Government > Community Center,Community Center,52e81612bcbc57f1066b7a34,86.0,Community and Government > Cultural Center,65.07,Community and Government > Spiritual Center,64.69,Community and Government > Rehabilitation Center,63.0,Community and Government > Spiritual Center > Cemevi,61.82
community_gardens,Community and Government > Community Center,Community Center,52e81612bcbc57f1066b7a34,52.09,Community and Government > Education > College and University > Community College,51.24,Community and Government,50.32,Community and Government > Prison,47.0,Community and Government > Dump,46.33
community_health_center,Community and Government > Community Center,Community Center,52e81612bcbc57f1066b7a34,62.49,Community and Government > Cultural Center,54.28,Community and Government > Spiritual Center,53.91,Community and Government > Rehabilitation Center,53.33,Community and Government > Spiritual Center > Cemevi,51.0
community_museum,Community and Government > Community Center,Community Center,52e81612bcbc57f1066b7a34,50.5,Community and Government > Education > College and University > Community College,49.67,Arts and Entertainment > Museum > Art Museum,47.62,Arts and Entertainment > Museum > History Museum,47.0,Arts and Entertainment > Museum > Science Museum,47.0
community_services_non_profits,Community and Government > Organization > Social Services Organization,Social Services Organization,63be6904847c3692a84b9baf,40.6,Community and Government > Prison,35.86,Community and Government,35.22,Community and Government > Dump,33.98,Community and Government > Community Center,33.87
computer_coaching,Community and Government > Education > Computer Training School,Computer Training School,63be6904847c3692a84b9ba0,48.37,Business and Professional Services > Computer Repair Service,43.0,Retail > Computers and Electronics Retail,24.22,Travel and Transportation > Border Crossing,22.5,Community and Government > Education > College and University > Community College,21.18
computer_hardware_company,Business and Professional Services > Technology Business > Software Company,Software Company,63be6904847c3692a84b9b91,43.65,Business and Professional Services > Computer Repair Service,38.0,Business and Professional Services > Mobile Company,36.85,Retail > Hardware Store,36.85,Community and Government > Utility Company,36.33
computer_museum,Arts and Entertainment > Museum > Erotic Museum,Erotic Museum,559acbe0498e472f1a53fa23,48.71,Arts and Entertainment > Museum > Art Museum,48.6,Arts and Entertainment > Museum > History Museum,47.83,Arts and Entertainment > Museum > Science Museum,47.83,Business and Professional Services > Computer Repair Service,46.16
computer_store,Retail > Computers and Electronics Retail > Camera Store,Camera Store,4eb1bdf03b7b55596b4a7491,53.77,Retail > Outlet Store,53.77,Retail > Costume Store,52.63,Retail > Discount Store,51.57,Retail > Souvenir Store,51.57
computer_wholesaler,Business and Professional Services > Wholesaler,Wholesaler,63be6904847c3692a84b9b98,50.59,Business and Professional Services > Computer Repair Service,47.76,Community and Government > Education > Computer Training School,45.33,Retail > Warehouse or Wholesale Store,25.53,Retail > Computers and Electronics Retail,24.96
concierge_medicine,Health and Medicine > Physician > Internal Medicine Doctor,Internal Medicine Doctor,63be6904847c3692a84b9bcf,45.86,Health and Medicine > Sports Medicine Clinic,45.0,Health and Medicine,44.62,Health and Medicine > Alternative Medicine Clinic,44.33,Health and Medicine > Physician > Family Medicine Doctor,43.0
condominium,Community and Government > Education > College and University > College Auditorium,College Auditorium,4bf58dd8d48988d1af941735,19.31,Event > Convention,19.05,Community and Government > Education > College and University > College Stadium,18.46,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Colombian Restaurant,18.06,Arts and Entertainment > Stadium,17.78
construction_management,Business and Professional Services > Construction,Construction,63be6904847c3692a84b9b36,50.43,Retail > Construction Supplies Store,47.0,Business and Professional Services > Waste Management Service,45.13,Business and Professional Services > Real Estate Service > Property Management Office,44.22,Business and Professional Services > Management Consultant,41.18
construction_services,Business and Professional Services > Construction,Construction,63be6904847c3692a84b9b36,56.71,Retail > Construction Supplies Store,51.33,Business and Professional Services,43.36,Community and Government > Organization > Social Services Organization,40.96,Business and Professional Services > Translation Service,40.66
consultant_and_general_service,Business and Professional Services > Home Improvement Service > General Contractor,General Contractor,63be6904847c3692a84b9b55,43.24,Business and Professional Services > Food and Beverage Service,42.52,Business and Professional Services > Health and Beauty Service,41.06,Business and Professional Services > Import and Export Service,41.06,Business and Professional Services > Agriculture and Forestry Service,40.85
contemporary_art_museum,Arts and Entertainment > Museum > Art Museum,Art Museum,4bf58dd8d48988d18f941735,53.91,Arts and Entertainment > Museum > History Museum,40.12,Arts and Entertainment > Museum > Science Museum,37.95,Arts and Entertainment > Museum,34.11,Arts and Entertainment > Museum > Erotic Museum,34.11
contract_law,Business and Professional Services > Legal Service > Law Office,Law Office,52f2ab2ebcbc57f1066b8b3f,30.91,Community and Government > Education > College and University > Law School,30.91,Community and Government > Government Building > Law Enforcement and Public Safety,28.51,Community and Government > Government Building > Law Enforcement and Public Safety > Fire Station,27.34,Community and Government > Government Building > Law Enforcement and Public Safety > Police Station,27.21
contractor,Business and Professional Services > Home Improvement Service > Fence Contractor,Fence Contractor,63be6904847c3692a84b9b53,76.77,Business and Professional Services > Home Improvement Service > Sewer Contractor,76.77,Business and Professional Services > Home Improvement Service > General Contractor,74.57,Business and Professional Services > Home Improvement Service > Bathroom Contractor,73.59,Business and Professional Services > Home Improvement Service > Deck and Patio Contractor,68.86
convenience_store,Retail > Convenience Store,Convenience Store,4d954b0ea243a5684a65b473,86.0,Retail > Souvenir Store,51.39,Retail > Food and Beverage Retail > Cheese Store,50.59,Retail > Cosmetics Store,50.5,Retail > Sporting Goods Retail > Running Store,49.67
convents_and_monasteries,Business and Professional Services,Business and Professional Services,4d4b7105d754a06375d81259,23.45,Business and Professional Services > Convention Center,23.41,Landmarks and Outdoors > States and Municipalities,22.86,Arts and Entertainment,22.61,Business and Professional Services > Financial Service > Accounting and Bookkeeping Service,22.07
cooking_classes,Dining and Drinking > Restaurant > Turkish Restaurant > Turkish Home Cooking Restaurant,Turkish Home Cooking Restaurant,5283c7b4e4b094cb91ec88d4,40.39,Business and Professional Services > Office > Coworking Space,26.67,Community and Government > Polling Place,22.86,Sports and Recreation > Baseball > Batting Cages,22.86,Community and Government > Education > College and University > College Classroom,22.5
cooking_school,Community and Government > Education > Primary and Secondary School > High School,High School,4bf58dd8d48988d13d941735,51.8,Community and Government > Education > Driving School,51.57,Community and Government > Education > Culinary School,50.59,Community and Government > Education > Circus School,49.67,Community and Government > Education > Flight School,49.67
copywriting_service,"Business and Professional Services > Writing, Copywriting and Technical Writing Service","Writing, Copywriting and Technical Writing Service",63be6904847c3692a84b9b99,65.03,Business and Professional Services > Automotive Service > Towing Service,54.52,Business and Professional Services > Tutoring Service,52.71,Business and Professional Services > Logging Service,51.24,Business and Professional Services > Welding Service,51.24
corporate_entertainment_services,Business and Professional Services > Entertainment Service,Entertainment Service,56aa371be4b08b9a8d573554,51.0,Business and Professional Services > Entertainment Agency,46.75,Event > Entertainment Event,43.0,Business and Professional Services > Office > Corporate Amenity,42.3,Business and Professional Services > Office > Corporate Cafeteria,42.04
corporate_gift_supplier,Business and Professional Services > Office > Corporate Cafeteria,Corporate Cafeteria,54f4ba06498e2cf5561da814,43.0,Business and Professional Services > Office > Corporate Coffee Shop,41.79,Business and Professional Services > Leather Supplier,40.95,Business and Professional Services > Office > Corporate Amenity,40.33,Business and Professional Services > Rubber Supplier,39.49
corporate_office,Business and Professional Services > Office > Corporate Coffee Shop,Corporate Coffee Shop,5665c7b9498e7d8a4f2c0f06,56.49,Business and Professional Services > Office > Corporate Housing Agency,55.09,Business and Professional Services > Office > Corporate Cafeteria,54.85,Business and Professional Services > Office > Corporate Amenity,54.14,Community and Government > Government Building > Post Office,52.63
cosmetic_and_beauty_supplies,Business and Professional Services > Health and Beauty Service,Health and Beauty Service,54541900498ea6ccd0202697,41.99,Retail > Pet Supplies Store,39.61,Retail > Construction Supplies Store,38.15,Business and Professional Services > Health and Beauty Service > Body Piercing Shop,32.19,Business and Professional Services > Health and Beauty Service > Spa,32.17
cosmetic_dentist,Health and Medicine > Dentist,Dentist,4bf58dd8d48988d178941735,47.35,Retail > Cosmetics Store,31.39,Retail > Costume Store,22.07,Health and Medicine > Medical Center,21.33,Health and Medicine > Optometrist,20.74
