CATEGORY_LABEL,SIMPLIFIED_CATEGORY,UPDATED_CATEGORY
distillery,Food & Dining,Food & Dining
cafe,Food & Dining,Food & Dining
public_health_clinic,Food & Dining,Food & Dining
basque_restaurant,Food & Dining,Food & Dining
southern_restaurant,Food & Dining,Food & Dining
pop_up_restaurant,Food & Dining,Food & Dining
public_and_government_association,Food & Dining,Food & Dining
publicity_service,Food & Dining,Food & Dining
soul_food,Food & Dining,Food & Dining
restaurant_wholesale,Food & Dining,Food & Dining
food_tours,Food & Dining,Food & Dining
uruguayan_restaurant,Food & Dining,Food & Dining
public_restrooms,Food & Dining,Food & Dining
live_and_raw_food_restaurant,Food & Dining,Food & Dining
scottish_restaurant,Food & Dining,Food & Dining
airport_lounge,Food & Dining,Food & Dining
filipino_restaurant,Food & Dining,Food & Dining
taco_restaurant,Food & Dining,Food & Dining
molecular_gastronomy_restaurant,Food & Dining,Food & Dining
lebanese_restaurant,Food & Dining,Food & Dining
canadian_restaurant,Food & Dining,Food & Dining
salvadoran_restaurant,Food & Dining,Food & Dining
vegan_restaurant,Food & Dining,Food & Dining
kosher_restaurant,Food & Dining,Food & Dining
trinidadian_restaurant,Food & Dining,Food & Dining
pretzels,Food & Dining,Food & Dining
hot_dog_restaurant,Food & Dining,Food & Dining
jamaican_restaurant,Food & Dining,Food & Dining
donuts,Food & Dining,Food & Dining
pie_shop,Food & Dining,Food & Dining
frozen_yoghurt_shop,Food & Dining,Food & Dining
mexican_restaurant,Food & Dining,Food & Dining
poutinerie_restaurant,Food & Dining,Food & Dining
asian_restaurant,Food & Dining,Food & Dining
health_food_restaurant,Food & Dining,Food & Dining
pakistani_restaurant,Food & Dining,Food & Dining
wine_bar,Food & Dining,Food & Dining
theme_restaurant,Food & Dining,Food & Dining
polish_restaurant,Food & Dining,Food & Dining
meat_restaurant,Food & Dining,Food & Dining
bartending_school,Food & Dining,Food & Dining
colombian_restaurant,Food & Dining,Food & Dining
brazilian_restaurant,Food & Dining,Food & Dining
chilean_restaurant,Food & Dining,Food & Dining
hungarian_restaurant,Food & Dining,Food & Dining
comfort_food_restaurant,Food & Dining,Food & Dining
austrian_restaurant,Food & Dining,Food & Dining
gay_bar,Food & Dining,Food & Dining
kurdish_restaurant,Food & Dining,Food & Dining
serbo_croatian_restaurant,Food & Dining,Food & Dining
food_truck,Food & Dining,Food & Dining
tapas_bar,Food & Dining,Food & Dining
pan_asian_restaurant,Food & Dining,Food & Dining
wrap_restaurant,Food & Dining,Food & Dining
bangladeshi_restaurant,Food & Dining,Food & Dining
lounge,Food & Dining,Food & Dining
cambodian_restaurant,Food & Dining,Food & Dining
swiss_restaurant,Food & Dining,Food & Dining
pizza_delivery_service,Food & Dining,Food & Dining
cocktail_bar,Food & Dining,Food & Dining
haitian_restaurant,Food & Dining,Food & Dining
turkish_restaurant,Food & Dining,Food & Dining
soup_restaurant,Food & Dining,Food & Dining
spanish_restaurant,Food & Dining,Food & Dining
arabian_restaurant,Food & Dining,Food & Dining
empanadas,Food & Dining,Food & Dining
public_relations,Food & Dining,Food & Dining
dominican_restaurant,Food & Dining,Food & Dining
popcorn_shop,Food & Dining,Food & Dining
piano_bar,Food & Dining,Food & Dining
whiskey_bar,Food & Dining,Food & Dining
b2b_agriculture_and_food,Food & Dining,Food & Dining
coffee_roastery,Food & Dining,Food & Dining
food_banks,Food & Dining,Food & Dining
fast_food_restaurant,Food & Dining,Food & Dining
restaurant_management,Food & Dining,Food & Dining
noodles_restaurant,Food & Dining,Food & Dining
paraguayan_restaurant,Food & Dining,Food & Dining
korean_restaurant,Food & Dining,Food & Dining
iberian_restaurant,Food & Dining,Food & Dining
food_delivery_service,Food & Dining,Food & Dining
chinese_restaurant,Food & Dining,Food & Dining
bakery,Food & Dining,Food & Dining
taiwanese_restaurant,Food & Dining,Food & Dining
butcher_shop,Food & Dining,Food & Dining
latin_american_restaurant,Food & Dining,Food & Dining
dive_bar,Food & Dining,Food & Dining
panamanian_restaurant,Food & Dining,Food & Dining
costa_rican_restaurant,Food & Dining,Food & Dining
nigerian_restaurant,Food & Dining,Food & Dining
vegetarian_restaurant,Food & Dining,Food & Dining
seafood_wholesaler,Food & Dining,Food & Dining
italian_restaurant,Food & Dining,Food & Dining
patisserie_cake_shop,Food & Dining,Food & Dining
uzbek_restaurant,Food & Dining,Food & Dining
winery,Food & Dining,Food & Dining
chicken_wings_restaurant,Food & Dining,Food & Dining
ecuadorian_restaurant,Food & Dining,Food & Dining
burmese_restaurant,Food & Dining,Food & Dining
australian_restaurant,Food & Dining,Food & Dining
international_restaurant,Food & Dining,Food & Dining
falafel_restaurant,Food & Dining,Food & Dining
caribbean_restaurant,Food & Dining,Food & Dining
delicatessen,Food & Dining,Food & Dining
brewery,Food & Dining,Food & Dining
ethiopian_restaurant,Food & Dining,Food & Dining
russian_restaurant,Food & Dining,Food & Dining
georgian_restaurant,Food & Dining,Food & Dining
flatbread_restaurant,Food & Dining,Food & Dining
health_food_store,Food & Dining,Food & Dining
food_and_beverage_consultant,Food & Dining,Food & Dining
meat_shop,Food & Dining,Food & Dining
buffet_restaurant,Food & Dining,Food & Dining
indian_restaurant,Food & Dining,Food & Dining
food,Food & Dining,Food & Dining
doner_kebab,Food & Dining,Food & Dining
waffle_restaurant,Food & Dining,Food & Dining
tiki_bar,Food & Dining,Food & Dining
japanese_restaurant,Food & Dining,Food & Dining
laotian_restaurant,Food & Dining,Food & Dining
mediterranean_restaurant,Food & Dining,Food & Dining
seafood_market,Food & Dining,Food & Dining
cabaret,Food & Dining,Food & Dining
pub,Food & Dining,Food & Dining
bar_crawl,Food & Dining,Food & Dining
smoothie_juice_bar,Food & Dining,Food & Dining
pizza_restaurant,Food & Dining,Food & Dining
burger_restaurant,Food & Dining,Food & Dining
indonesian_restaurant,Food & Dining,Food & Dining
ice_cream_shop,Food & Dining,Food & Dining
persian_iranian_restaurant,Food & Dining,Food & Dining
fondue_restaurant,Food & Dining,Food & Dining
candy_store,Food & Dining,Food & Dining
german_restaurant,Food & Dining,Food & Dining
bagel_restaurant,Food & Dining,Food & Dining
gelato,Food & Dining,Food & Dining
food_safety_training,Food & Dining,Food & Dining
public_service_and_government,Food & Dining,Food & Dining
public_transportation,Food & Dining,Food & Dining
ukrainian_restaurant,Food & Dining,Food & Dining
salad_bar,Food & Dining,Food & Dining
dumpling_restaurant,Food & Dining,Food & Dining
guatemalan_restaurant,Food & Dining,Food & Dining
french_restaurant,Food & Dining,Food & Dining
bagel_shop,Food & Dining,Food & Dining
bar,Food & Dining,Food & Dining
hotel_bar,Food & Dining,Food & Dining
kombucha,Food & Dining,Food & Dining
oxygen_bar,Food & Dining,Food & Dining
moroccan_restaurant,Food & Dining,Food & Dining
acai_bowls,Food & Dining,Food & Dining
british_restaurant,Food & Dining,Food & Dining
middle_eastern_restaurant,Food & Dining,Food & Dining
caterer,Food & Dining,Food & Dining
public_plaza,Food & Dining,Food & Dining
potato_restaurant,Food & Dining,Food & Dining
pancake_house,Food & Dining,Food & Dining
romanian_restaurant,Food & Dining,Food & Dining
cupcake_shop,Food & Dining,Food & Dining
wok_restaurant,Food & Dining,Food & Dining
bubble_tea,Food & Dining,Food & Dining
food_court,Food & Dining,Food & Dining
tea_room,Food & Dining,Food & Dining
american_restaurant,Food & Dining,Food & Dining
slovakian_restaurant,Food & Dining,Food & Dining
public_school,Food & Dining,Food & Dining
singaporean_restaurant,Food & Dining,Food & Dining
steakhouse,Food & Dining,Food & Dining
greek_restaurant,Food & Dining,Food & Dining
himalayan_nepalese_restaurant,Food & Dining,Food & Dining
public_adjuster,Food & Dining,Food & Dining
portuguese_restaurant,Food & Dining,Food & Dining
public_toilet,Food & Dining,Food & Dining
mongolian_restaurant,Food & Dining,Food & Dining
peruvian_restaurant,Food & Dining,Food & Dining
azerbaijani_restaurant,Food & Dining,Food & Dining
desserts,Food & Dining,Food & Dining
bolivian_restaurant,Food & Dining,Food & Dining
hong_kong_style_cafe,Food & Dining,Food & Dining
public_market,Food & Dining,Food & Dining
bar_and_grill_restaurant,Food & Dining,Food & Dining
asian_fusion_restaurant,Food & Dining,Food & Dining
internet_cafe,Food & Dining,Food & Dining
cheesesteak_restaurant,Food & Dining,Food & Dining
bulgarian_restaurant,Food & Dining,Food & Dining
sushi_restaurant,Food & Dining,Food & Dining
notary_public,Food & Dining,Government & Public Services
senegalese_restaurant,Food & Dining,Food & Dining
imported_food,Food & Dining,Food & Dining
bus_ticket_agency,Government & Public Services,Government & Public Services
fire_department,Government & Public Services,Government & Public Services
emergency_service,Government & Public Services,Government & Public Services
civic_center,Government & Public Services,Government & Public Services
jail_and_prison,Government & Public Services,Government & Public Services
social_security_services,Government & Public Services,Government & Public Services
talent_agency,Government & Public Services,Government & Public Services
police_department,Government & Public Services,Government & Public Services
national_security_services,Government & Public Services,Government & Public Services
local_and_state_government_offices,Government & Public Services,Government & Public Services
non_governmental_association,Government & Public Services,Government & Public Services
freight_forwarding_agency,Government & Public Services,Government & Public Services
government_services,Government & Public Services,Government & Public Services
juvenile_detention_center,Government & Public Services,Government & Public Services
town_hall,Government & Public Services,Government & Public Services
armed_forces_branch,Government & Public Services,Government & Public Services
media_agency,Government & Public Services,Government & Public Services
certification_agency,Government & Public Services,Government & Public Services
passport_and_visa_services,Government & Public Services,Government & Public Services
central_government_office,Government & Public Services,Government & Public Services
estate_liquidation,Government & Public Services,Government & Public Services
federal_government_offices,Government & Public Services,Government & Public Services
state_park,Government & Public Services,Government & Public Services
airline_ticket_agency,Government & Public Services,Government & Public Services
sightseeing_tour_agency,Government & Public Services,Government & Public Services
social_media_agency,Government & Public Services,Government & Public Services
department_of_social_service,Government & Public Services,Government & Public Services
post_office,Government & Public Services,Government & Public Services
embassy,Government & Public Services,Government & Public Services
office_of_vital_records,Government & Public Services,Government & Public Services
social_welfare_center,Government & Public Services,Government & Public Services
general_dentistry,Healthcare & Medical,Healthcare & Medical
mohel,Healthcare & Medical,Healthcare & Medical
maternity_centers,Healthcare & Medical,Healthcare & Medical
dental_laboratories,Healthcare & Medical,Healthcare & Medical
sports_psychologist,Healthcare & Medical,Healthcare & Medical
emergency_medicine,Healthcare & Medical,Healthcare & Medical
cardiologist,Healthcare & Medical,Healthcare & Medical
animal_hospital,Healthcare & Medical,Pet Services
midwife,Healthcare & Medical,Healthcare & Medical
cosmetic_dentist,Healthcare & Medical,Healthcare & Medical
physical_therapy,Healthcare & Medical,Healthcare & Medical
pediatric_surgery,Healthcare & Medical,Healthcare & Medical
vascular_medicine,Healthcare & Medical,Healthcare & Medical
occupational_medicine,Healthcare & Medical,Healthcare & Medical
family_counselor,Healthcare & Medical,Healthcare & Medical
alternative_medicine,Healthcare & Medical,Healthcare & Medical
otologist,Healthcare & Medical,Healthcare & Medical
aromatherapy,Healthcare & Medical,Healthcare & Medical
rehabilitation_center,Healthcare & Medical,Healthcare & Medical
health_market,Healthcare & Medical,Healthcare & Medical
lactation_services,Healthcare & Medical,Healthcare & Medical
pediatric_orthopedic_surgery,Healthcare & Medical,Healthcare & Medical
health_and_medical,Healthcare & Medical,Healthcare & Medical
pediatric_pulmonology,Healthcare & Medical,Healthcare & Medical
anesthesiologist,Healthcare & Medical,Healthcare & Medical
urologist,Healthcare & Medical,Healthcare & Medical
pulmonologist,Healthcare & Medical,Healthcare & Medical
health_coach,Healthcare & Medical,Healthcare & Medical
medical_center,Healthcare & Medical,Healthcare & Medical
halotherapy,Healthcare & Medical,Healthcare & Medical
pediatric_dentist,Healthcare & Medical,Healthcare & Medical
womens_health_clinic,Healthcare & Medical,Healthcare & Medical
community_health_center,Healthcare & Medical,Healthcare & Medical
optometrist,Healthcare & Medical,Healthcare & Medical
pediatric_neurology,Healthcare & Medical,Healthcare & Medical
pediatric_radiology,Healthcare & Medical,Healthcare & Medical
spine_surgeon,Healthcare & Medical,Healthcare & Medical
proctologist,Healthcare & Medical,Healthcare & Medical
gastroenterologist,Healthcare & Medical,Healthcare & Medical
hepatologist,Healthcare & Medical,Healthcare & Medical
ayurveda,Healthcare & Medical,Healthcare & Medical
doula,Healthcare & Medical,Healthcare & Medical
radiologist,Healthcare & Medical,Healthcare & Medical
pediatric_gastroenterology,Healthcare & Medical,Healthcare & Medical
fertility,Healthcare & Medical,Healthcare & Medical
b2b_medical_support_services,Healthcare & Medical,Healthcare & Medical
oncologist,Healthcare & Medical,Healthcare & Medical
physician_assistant,Healthcare & Medical,Healthcare & Medical
geneticist,Healthcare & Medical,Healthcare & Medical
retina_specialist,Healthcare & Medical,Healthcare & Medical
medical_supply,Healthcare & Medical,Healthcare & Medical
internal_medicine,Healthcare & Medical,Healthcare & Medical
psychologist,Healthcare & Medical,Healthcare & Medical
traditional_chinese_medicine,Healthcare & Medical,Healthcare & Medical
nursing_school,Healthcare & Medical,Healthcare & Medical
health_retreats,Healthcare & Medical,Healthcare & Medical
occupational_therapy,Healthcare & Medical,Healthcare & Medical
speech_therapist,Healthcare & Medical,Healthcare & Medical
veterinarian,Healthcare & Medical,Healthcare & Medical
allergist,Healthcare & Medical,Healthcare & Medical
counseling_and_mental_health,Healthcare & Medical,Healthcare & Medical
chiropractor,Healthcare & Medical,Healthcare & Medical
endocrinologist,Healthcare & Medical,Healthcare & Medical
dental_supply_store,Healthcare & Medical,Healthcare & Medical
pathologist,Healthcare & Medical,Healthcare & Medical
pediatrician,Healthcare & Medical,Healthcare & Medical
health_department,Healthcare & Medical,Healthcare & Medical
oral_surgeon,Healthcare & Medical,Healthcare & Medical
rheumatologist,Healthcare & Medical,Healthcare & Medical
surgeon,Healthcare & Medical,Healthcare & Medical
maternity_wear,Healthcare & Medical,Healthcare & Medical
cosmetic_surgeon,Healthcare & Medical,Healthcare & Medical
geriatric_medicine,Healthcare & Medical,Healthcare & Medical
abortion_clinic,Healthcare & Medical,Healthcare & Medical
orthopedist,Healthcare & Medical,Healthcare & Medical
sex_therapist,Healthcare & Medical,Healthcare & Medical
medical_sciences_schools,Healthcare & Medical,Healthcare & Medical
medical_research_and_development,Healthcare & Medical,Healthcare & Medical
doctor,Healthcare & Medical,Healthcare & Medical
animal_assisted_therapy,Healthcare & Medical,Healthcare & Medical
urgent_care_clinic,Healthcare & Medical,Healthcare & Medical
ophthalmologist,Healthcare & Medical,Healthcare & Medical
neuropathologist,Healthcare & Medical,Healthcare & Medical
toxicologist,Healthcare & Medical,Healthcare & Medical
medical_spa,Healthcare & Medical,Healthcare & Medical
sperm_clinic,Healthcare & Medical,Healthcare & Medical
sports_medicine,Healthcare & Medical,Healthcare & Medical
dentist,Healthcare & Medical,Healthcare & Medical
health_insurance_office,Healthcare & Medical,Healthcare & Medical
osteopathic_physician,Healthcare & Medical,Healthcare & Medical
hypnosis_hypnotherapy,Healthcare & Medical,Healthcare & Medical
pediatric_oncology,Healthcare & Medical,Healthcare & Medical
prenatal_perinatal_care,Healthcare & Medical,Healthcare & Medical
dental_hygienist,Healthcare & Medical,Healthcare & Medical
acupuncture,Healthcare & Medical,Healthcare & Medical
pharmacy_schools,Healthcare & Medical,Healthcare & Medical
cryotherapy,Healthcare & Medical,Healthcare & Medical
hospice,Healthcare & Medical,Healthcare & Medical
hematology,Healthcare & Medical,Healthcare & Medical
hospitalist,Healthcare & Medical,Healthcare & Medical
plastic_surgeon,Healthcare & Medical,Healthcare & Medical
clinical_laboratories,Healthcare & Medical,Healthcare & Medical
audiologist,Healthcare & Medical,Healthcare & Medical
health_spa,Healthcare & Medical,Healthcare & Medical
marriage_or_relationship_counselor,Healthcare & Medical,Healthcare & Medical
pediatric_cardiology,Healthcare & Medical,Healthcare & Medical
walk_in_clinic,Healthcare & Medical,Healthcare & Medical
nephrologist,Healthcare & Medical,Healthcare & Medical
dialysis_clinic,Healthcare & Medical,Healthcare & Medical
immunodermatologist,Healthcare & Medical,Healthcare & Medical
emergency_room,Healthcare & Medical,Healthcare & Medical
pediatric_nephrology,Healthcare & Medical,Healthcare & Medical
emergency_pet_hospital,Healthcare & Medical,Healthcare & Medical
cannabis_clinic,Healthcare & Medical,Healthcare & Medical
medical_transportation,Healthcare & Medical,Healthcare & Medical
concierge_medicine,Healthcare & Medical,Healthcare & Medical
medical_law,Healthcare & Medical,Healthcare & Medical
skilled_nursing,Healthcare & Medical,Healthcare & Medical
hydrotherapy,Healthcare & Medical,Healthcare & Medical
neurologist,Healthcare & Medical,Healthcare & Medical
massage_therapy,Healthcare & Medical,Healthcare & Medical
cardiovascular_and_thoracic_surgeon,Healthcare & Medical,Healthcare & Medical
medical_service_organizations,Healthcare & Medical,Healthcare & Medical
health_consultant,Healthcare & Medical,Healthcare & Medical
health_and_wellness_club,Healthcare & Medical,Healthcare & Medical
psychotherapist,Healthcare & Medical,Healthcare & Medical
pet_hospice,Healthcare & Medical,Healthcare & Medical
pharmacy,Healthcare & Medical,Healthcare & Medical
psychiatrist,Healthcare & Medical,Healthcare & Medical
laser_eye_surgery_lasik,Healthcare & Medical,Healthcare & Medical
eye_care_clinic,Healthcare & Medical,Healthcare & Medical
obstetrician_and_gynecologist,Healthcare & Medical,Healthcare & Medical
dermatologist,Healthcare & Medical,Healthcare & Medical
naturopathic_holistic,Healthcare & Medical,Healthcare & Medical
hospital_equipment_and_supplies,Healthcare & Medical,Healthcare & Medical
acne_treatment,Healthcare & Medical,Healthcare & Medical
podiatrist,Healthcare & Medical,Healthcare & Medical
dentistry_schools,Healthcare & Medical,Healthcare & Medical
home_health_care,Healthcare & Medical,Healthcare & Medical
hospital,Healthcare & Medical,Healthcare & Medical
holistic_animal_care,Healthcare & Medical,Healthcare & Medical
pediatric_anesthesiology,Healthcare & Medical,Healthcare & Medical
medical_school,Healthcare & Medical,Healthcare & Medical
preventive_medicine,Healthcare & Medical,Healthcare & Medical
childrens_hospital,Healthcare & Medical,Healthcare & Medical
environmental_medicine,Healthcare & Medical,Healthcare & Medical
child_psychiatrist,Healthcare & Medical,Healthcare & Medical
medical_cannabis_referral,Healthcare & Medical,Healthcare & Medical
pediatric_endocrinology,Healthcare & Medical,Healthcare & Medical
addiction_rehabilitation_center,Healthcare & Medical,Healthcare & Medical
neurotologist,Healthcare & Medical,Healthcare & Medical
animal_physical_therapy,Healthcare & Medical,Healthcare & Medical
homeopathic_medicine,Healthcare & Medical,Healthcare & Medical
gardener,Home & Garden Services,Home & Garden Services
air_duct_cleaning_service,Home & Garden Services,Home & Garden Services
industrial_cleaning_services,Home & Garden Services,Home & Garden Services
deck_and_railing_sales_service,Home & Garden Services,Home & Garden Services
key_and_locksmith,Home & Garden Services,Home & Garden Services
carpet_cleaning,Home & Garden Services,Home & Garden Services
garage_door_service,Home & Garden Services,Home & Garden Services
gutter_service,Home & Garden Services,Home & Garden Services
junk_removal_and_hauling,Home & Garden Services,Home & Garden Services
cleaning_products_supplier,Home & Garden Services,Home & Garden Services
cleaning_services,Home & Garden Services,Home & Garden Services
pressure_washing,Home & Garden Services,Home & Garden Services
indoor_landscaping,Home & Garden Services,Home & Garden Services
chimney_service,Home & Garden Services,Home & Garden Services
handyman,Home & Garden Services,Home & Garden Services
solar_panel_cleaning,Home & Garden Services,Home & Garden Services
movers,Home & Garden Services,Home & Garden Services
patio_covers,Home & Garden Services,Home & Garden Services
chimney_sweep,Home & Garden Services,Home & Garden Services
dry_cleaning,Home & Garden Services,Home & Garden Services
tree_services,Home & Garden Services,Home & Garden Services
snow_removal_service,Home & Garden Services,Home & Garden Services
landscaping,Home & Garden Services,Home & Garden Services
pool_cleaning,Home & Garden Services,Home & Garden Services
office_cleaning,Home & Garden Services,Home & Garden Services
security_systems,Home & Garden Services,Home & Garden Services
fence_and_gate_sales_service,Home & Garden Services,Home & Garden Services
window_washing,Home & Garden Services,Home & Garden Services
janitorial_services,Home & Garden Services,Home & Garden Services
home_cleaning,Home & Garden Services,Home & Garden Services
occupational_safety,Home & Garden Services,Home & Garden Services
pest_control_service,Home & Garden Services,Home & Garden Services
metal_detector_services,Manufacturing & Industrial,Manufacturing & Industrial
jewelry_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial
mining,Manufacturing & Industrial,Manufacturing & Industrial
printing_equipment_and_supply,Manufacturing & Industrial,Manufacturing & Industrial
b2b_storage_and_warehouses,Manufacturing & Industrial,Manufacturing & Industrial
shoe_factory,Manufacturing & Industrial,Manufacturing & Industrial
plastic_company,Manufacturing & Industrial,Manufacturing & Industrial
chemical_plant,Manufacturing & Industrial,Manufacturing & Industrial
oil_and_gas_exploration_and_development,Manufacturing & Industrial,Manufacturing & Industrial
book_magazine_distribution,Manufacturing & Industrial,Manufacturing & Industrial
b2b_textiles,Manufacturing & Industrial,Manufacturing & Industrial
metals,Manufacturing & Industrial,Manufacturing & Industrial
printing_services,Manufacturing & Industrial,Manufacturing & Industrial
b2b_rubber_and_plastics,Manufacturing & Industrial,Manufacturing & Industrial
coal_and_coke,Manufacturing & Industrial,Manufacturing & Industrial
iron_work,Manufacturing & Industrial,Manufacturing & Industrial
mattress_manufacturing,Manufacturing & Industrial,Manufacturing & Industrial
scrap_metals,Manufacturing & Industrial,Manufacturing & Industrial
business_manufacturing_and_supply,Manufacturing & Industrial,Manufacturing & Industrial
environmental_renewable_natural_resource,Manufacturing & Industrial,Manufacturing & Industrial
industrial_spares_and_products_wholesaler,Manufacturing & Industrial,Manufacturing & Industrial
aircraft_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial
lighting_fixture_manufacturers,Manufacturing & Industrial,Manufacturing & Industrial
glass_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial
oil_and_gas_field_equipment_and_services,Manufacturing & Industrial,Manufacturing & Industrial
saw_mill,Manufacturing & Industrial,Manufacturing & Industrial
appliance_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial
manufacturers_agents_and_representatives,Manufacturing & Industrial,Manufacturing & Industrial
leather_products_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial
industrial_company,Manufacturing & Industrial,Manufacturing & Industrial
mills,Manufacturing & Industrial,Manufacturing & Industrial
textile_mill,Manufacturing & Industrial,Manufacturing & Industrial
oil_and_gas,Manufacturing & Industrial,Manufacturing & Industrial
environmental_abatement_services,Manufacturing & Industrial,Manufacturing & Industrial
industrial_equipment,Manufacturing & Industrial,Manufacturing & Industrial
plastic_fabrication_company,Manufacturing & Industrial,Manufacturing & Industrial
iron_and_steel_industry,Manufacturing & Industrial,Manufacturing & Industrial
furniture_assembly,Manufacturing & Industrial,Manufacturing & Industrial
sheet_metal,Manufacturing & Industrial,Manufacturing & Industrial
flour_mill,Manufacturing & Industrial,Manufacturing & Industrial
distribution_services,Manufacturing & Industrial,Manufacturing & Industrial
steel_fabricators,Manufacturing & Industrial,Manufacturing & Industrial
environmental_and_ecological_services_for_businesses,Manufacturing & Industrial,Manufacturing & Industrial
metal_supplier,Manufacturing & Industrial,Manufacturing & Industrial
fingerprinting_service,Manufacturing & Industrial,Manufacturing & Industrial
environmental_conservation_organization,Manufacturing & Industrial,Manufacturing & Industrial
cosmetic_products_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial
metal_plating_service,Manufacturing & Industrial,Manufacturing & Industrial
screen_printing_t_shirt_printing,Manufacturing & Industrial,Manufacturing & Industrial
environmental_testing,Manufacturing & Industrial,Manufacturing & Industrial
paper_mill,Manufacturing & Industrial,Manufacturing & Industrial
wallpaper_installers,Manufacturing & Industrial,Manufacturing & Industrial
jewelry_and_watches_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial
furniture_manufacturers,Manufacturing & Industrial,Manufacturing & Industrial
3d_printing_service,Manufacturing & Industrial,Manufacturing & Industrial
commercial_industrial,Manufacturing & Industrial,Manufacturing & Industrial
plastic_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial
warehouses,Manufacturing & Industrial,Manufacturing & Industrial
environmental_conservation_and_ecological_organizations,Manufacturing & Industrial,Manufacturing & Industrial
cotton_mill,Manufacturing & Industrial,Manufacturing & Industrial
metal_materials_and_experts,Manufacturing & Industrial,Manufacturing & Industrial
b2b_oil_and_gas_extraction_and_services,Manufacturing & Industrial,Manufacturing & Industrial
metal_fabricator,Manufacturing & Industrial,Manufacturing & Industrial
social_media_company,Media & Communications,Media & Communications
media_news_company,Media & Communications,Media & Communications
radio_station,Media & Communications,Media & Communications
print_media,Media & Communications,Media & Communications
media_news_website,Media & Communications,Media & Communications
television_station,Media & Communications,Media & Communications
mass_media,Media & Communications,Media & Communications
media_critic,Media & Communications,Media & Communications
business_to_business_services,Other Services,Other Services
shades_and_blinds,Other Services,Other Services
tabletop_games,Other Services,Other Services
farm_equipment_and_supply,Other Services,Other Services
books_mags_music_and_video,Other Services,Other Services
gemstone_and_mineral,Other Services,Other Services
infectious_disease_specialist,Other Services,Other Services
oil_refiners,Other Services,Other Services
information_technology_company,Other Services,Other Services
shoe_shining_service,Other Services,Other Services
office_equipment,Other Services,Other Services
packing_services,Other Services,Other Services
ticket_sales,Other Services,Other Services
bus_rentals,Other Services,Other Services
iv_hydration,Other Services,Healthcare & Medical
racing_experience,Other Services,Other Services
land_surveying,Other Services,Other Services
ear_nose_and_throat,Other Services,Healthcare & Medical
water_purification_services,Other Services,Other Services
scientific_laboratories,Other Services,Healthcare & Medical
teeth_whitening,Other Services,Healthcare & Medical
marina,Other Services,Other Services
door_sales_service,Other Services,Other Services
cannabis_collective,Other Services,Other Services
road_structures_and_services,Other Services,Other Services
canal,Other Services,Other Services
travel_company,Other Services,Other Services
firewood,Other Services,Other Services
jazz_and_blues,Other Services,Arts & Entertainment
antenna_service,Other Services,Other Services
rest_areas,Other Services,Other Services
laser_cutting_service_provider,Other Services,Other Services
elevator_service,Other Services,Other Services
orthodontist,Other Services,Healthcare & Medical
business_equipment_and_supply,Other Services,Business-to-Business
pedicab_service,Other Services,Other Services
personal_care_service,Other Services,Other Services
paint_your_own_pottery,Other Services,Other Services
exhibition_and_trade_center,Other Services,Other Services
safety_equipment,Other Services,Other Services
writing_service,Other Services,Other Services
prosthodontist,Other Services,Healthcare & Medical
security_services,Other Services,Other Services
laundromat,Other Services,Other Services
country_club,Other Services,Other Services
backpacking_area,Other Services,Other Services
music_critic,Other Services,Arts & Entertainment
feng_shui,Other Services,Home & Garden Services
holiday_decor,Other Services,Home & Garden Services
endodontist,Other Services,Healthcare & Medical
bulk_billing,Other Services,Other Services
sign_making,Other Services,Other Services
luggage_storage,Other Services,Other Services
vitamins_and_supplements,Other Services,Other Services
team_building_activity,Other Services,Other Services
street_vendor,Other Services,Other Services
general_litigation,Other Services,Other Services
foot_care,Other Services,Healthcare & Medical
logging_equipment_and_supplies,Other Services,Other Services
freight_and_cargo_service,Other Services,Other Services
meat_wholesaler,Other Services,Other Services
pool_hall,Other Services,Other Services
windows_installation,Other Services,Construction & Contractors
horseback_riding_service,Other Services,Other Services
fidelity_and_surety_bonds,Other Services,Financial Services
genealogists,Other Services,Other Services
emergency_roadside_service,Other Services,Other Services
payroll_services,Other Services,Financial Services
plaza,Other Services,Other Services
business_financing,Other Services,Financial Services
supernatural_reading,Other Services,Other Services
solar_installation,Other Services,Construction & Contractors
glass_and_mirror_sales_service,Other Services,Other Services
inventory_control_service,Other Services,Other Services
ev_charging_station,Other Services,Other Services
footwear_wholesaler,Other Services,Other Services
translating_and_interpreting_services,Other Services,Other Services
family_practice,Other Services,Healthcare & Medical
wine_tasting_room,Other Services,Other Services
private_jet_charters,Other Services,Other Services
auction_house,Other Services,Other Services
mobility_equipment_services,Other Services,Healthcare & Medical
active_life,Other Services,Healthcare & Medical
misting_system_services,Other Services,Other Services
hearing_aids,Other Services,Healthcare & Medical
nudist_clubs,Other Services,Other Services
scooter_rental,Other Services,Other Services
bags_luggage_company,Other Services,Other Services
challenge_courses_center,Other Services,Other Services
package_locker,Other Services,Other Services
