OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_Primary,FSQ_Category_ID,FSQ_Category_Label
cosmetic_and_beauty_supplies,Beauty & Wellness,Beauty & Wellness,Business and Professional Services,11061,Business and Professional Services > Health and Beauty Service
hair_replacement,Beauty & Wellness,Beauty & Wellness,Business and Professional Services,11064,Business and Professional Services > Health and Beauty Service > Hair Salon
boxing_gym,Beauty & Wellness,Beauty & Wellness,Business and Professional Services,11000,Business and Professional Services
makeup_artist,Beauty & Wellness,Beauty & Wellness,Business and Professional Services,11000,Business and Professional Services
aesthetician,Beauty & Wellness,Beauty & Wellness,Business and Professional Services,11000,Business and Professional Services
permanent_makeup,Beauty & Wellness,Beauty & Wellness,Business and Professional Services,11000,Business and Professional Services
electronic_parts_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
b2b_scientific_equipment,Business-to-Business,Business-to-Business,Business and Professional Services,11161,Business and Professional Services > Scientific Equipment Supplier
propane_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
corporate_gift_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
fastener_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
b2b_furniture_and_housewares,Business-to-Business,Business-to-Business,Business and Professional Services,11000,Business and Professional Services
bearing_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
vending_machine_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
granite_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
cement_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
ice_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11154,Business and Professional Services > Refrigeration and Ice Supplier
b2b_hardware,Business-to-Business,Business-to-Business,Business and Professional Services,11000,Business and Professional Services
scale_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
pipe_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
aluminum_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
stone_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
awning_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
beverage_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
beauty_product_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
b2b_science_and_technology,Business-to-Business,Business-to-Business,Business and Professional Services,11108,Business and Professional Services > Technology Business > IT Service
abrasives_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
natural_gas_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
b2b_dairies,Business-to-Business,Business-to-Business,Business and Professional Services,11000,Business and Professional Services
tableware_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
box_lunch_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
water_softening_equipment_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
b2b_jewelers,Business-to-Business,Business-to-Business,Business and Professional Services,11000,Business and Professional Services
sand_and_gravel_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11154,Business and Professional Services > Refrigeration and Ice Supplier
b2b_machinery_and_tools,Business-to-Business,Business-to-Business,Business and Professional Services,11000,Business and Professional Services
thread_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
retaining_wall_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
hydraulic_equipment_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
b2b_electronic_equipment,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
laboratory_equipment_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
window_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
aggregate_supplier,Business-to-Business,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
suicide_prevention_services,Community & Social Services,Community & Social Services,Community and Government,12087,Community and Government > Organization > Social Services Organization
elder_care_planning,Community & Social Services,Community & Social Services,Community and Government,12000,Community and Government
community_center,Community & Social Services,Community & Social Services,Community and Government,12004,Community and Government > Community Center
home_organization,Community & Social Services,Community & Social Services,Community and Government,12082,Community and Government > Organization
donation_center,Community & Social Services,Community & Social Services,Community and Government,12001,Community and Government > Addiction Treatment Center
charity_organization,Community & Social Services,Community & Social Services,Community and Government,12083,Community and Government > Organization > Charity
foster_care_services,Community & Social Services,Community & Social Services,Community and Government,12087,Community and Government > Organization > Social Services Organization
organization,Community & Social Services,Community & Social Services,Community and Government,12082,Community and Government > Organization
crisis_intervention_services,Community & Social Services,Community & Social Services,Community and Government,12087,Community and Government > Organization > Social Services Organization
fraternal_organization,Community & Social Services,Community & Social Services,Community and Government,12082,Community and Government > Organization
volunteer_association,Community & Social Services,Community & Social Services,Community and Government,12000,Community and Government
homeowner_association,Community & Social Services,Community & Social Services,Community and Government,12000,Community and Government
career_counseling,Community & Social Services,Community & Social Services,Community and Government,12000,Community and Government
senior_citizen_services,Community & Social Services,Community & Social Services,Community and Government,12096,Community and Government > Senior Citizen Service
welders,Community & Social Services,Community & Social Services,Community and Government,12000,Community and Government
domestic_business_and_trade_organizations,Community & Social Services,Community & Social Services,Community and Government,12007,Community and Government > Domestic Abuse Treatment Center
blood_and_plasma_donation_center,Community & Social Services,Community & Social Services,Community and Government,12001,Community and Government > Addiction Treatment Center
labor_union,Community & Social Services,Community & Social Services,Community and Government,12120,Community and Government > Organization > Labor Union
political_organization,Community & Social Services,Community & Social Services,Community and Government,12082,Community and Government > Organization
youth_organizations,Community & Social Services,Community & Social Services,Community and Government,12089,Community and Government > Organization > Youth Organization
social_service_organizations,Community & Social Services,Community & Social Services,Community and Government,12091,Community and Government > Public and Social Service
community_services_non_profits,Community & Social Services,Community & Social Services,Community and Government,12086,Community and Government > Organization > Non-Profit Organization
private_association,Community & Social Services,Community & Social Services,Community and Government,12061,Community and Government > Education > Private School
gay_and_lesbian_services_organization,Community & Social Services,Community & Social Services,Community and Government,12087,Community and Government > Organization > Social Services Organization
veterans_organization,Community & Social Services,Community & Social Services,Community and Government,12088,Community and Government > Organization > Veterans' Organization
packaging_contractors_and_service,Construction & Contractors,Construction & Contractors,Business and Professional Services,11002,Business and Professional Services > Agriculture and Forestry Service
contractor,Construction & Contractors,Construction & Contractors,Business and Professional Services,11077,Business and Professional Services > Home Improvement Service > Bathroom Contractor
kitchen_remodeling,Construction & Contractors,Construction & Contractors,Business and Professional Services,11091,Business and Professional Services > Home Improvement Service > Kitchen Remodeler
painting,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
plumbing,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
roofing,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
closet_remodeling,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
construction_services,Construction & Contractors,Construction & Contractors,Business and Professional Services,11028,Business and Professional Services > Construction
demolition_service,Construction & Contractors,Construction & Contractors,Business and Professional Services,11002,Business and Professional Services > Agriculture and Forestry Service
carpenter,Construction & Contractors,Construction & Contractors,Business and Professional Services,11078,Business and Professional Services > Home Improvement Service > Carpenter
excavation_service,Construction & Contractors,Construction & Contractors,Business and Professional Services,11002,Business and Professional Services > Agriculture and Forestry Service
tiling,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
road_contractor,Construction & Contractors,Construction & Contractors,Business and Professional Services,11077,Business and Professional Services > Home Improvement Service > Bathroom Contractor
logging_contractor,Construction & Contractors,Construction & Contractors,Business and Professional Services,11077,Business and Professional Services > Home Improvement Service > Bathroom Contractor
well_drilling,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
stone_and_masonry,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
boat_builder,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
paving_contractor,Construction & Contractors,Construction & Contractors,Business and Professional Services,11077,Business and Professional Services > Home Improvement Service > Bathroom Contractor
masonry_contractors,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
face_painting,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
waterproofing,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
siding,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
electrician,Construction & Contractors,Construction & Contractors,Business and Professional Services,11083,Business and Professional Services > Home Improvement Service > Electrician
insulation_installation,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
flooring_contractors,Construction & Contractors,Construction & Contractors,Business and Professional Services,11079,Business and Professional Services > Home Improvement Service > Carpet and Flooring Contractor
hvac_supplier,Construction & Contractors,Construction & Contractors,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier
altering_and_remodeling_contractor,Construction & Contractors,Construction & Contractors,Business and Professional Services,11079,Business and Professional Services > Home Improvement Service > Carpet and Flooring Contractor
building_contractor,Construction & Contractors,Construction & Contractors,Business and Professional Services,11077,Business and Professional Services > Home Improvement Service > Bathroom Contractor
masonry_concrete,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
septic_services,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
hvac_services,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
bathroom_remodeling,Construction & Contractors,Construction & Contractors,Business and Professional Services,11077,Business and Professional Services > Home Improvement Service > Bathroom Contractor
childproofing,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
builders,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
drywall_services,Construction & Contractors,Construction & Contractors,Business and Professional Services,11000,Business and Professional Services
vocal_coach,Education,Education,Community and Government,12000,Community and Government
science_schools,Education,Education,Community and Government,12036,Community and Government > Education > College and University > College Science Building
cardio_classes,Education,Exercise/Wellness,Sports and Recreation,18000,Sports and Recreation
law_schools,Education,Education,Community and Government,12044,Community and Government > Education > College and University > Law School
child_care_and_day_care,Education,Education,Community and Government,12000,Community and Government
cpr_classes,Education,Education,Community and Government,12000,Community and Government
wine_tasting_classes,Education,Education,Community and Government,12000,Community and Government
tutoring_center,Education,Education,Community and Government,12001,Community and Government > Addiction Treatment Center
boat_rental_and_training,Education,Education,Community and Government,12049,Community and Government > Education > Computer Training School
architecture_schools,Education,Education,Community and Government,12000,Community and Government
parenting_classes,Education,Education,Community and Government,12000,Community and Government
middle_school,Education,Education,Community and Government,12060,Community and Government > Education > Primary and Secondary School > Middle School
school,Education,Education,Community and Government,12011,Community and Government > Education > Art School
adult_education,Education,Education,Community and Government,12010,Community and Government > Education > Adult Education
flight_school,Education,Education,Community and Government,12052,Community and Government > Education > Flight School
speech_training,Education,Education,Community and Government,12049,Community and Government > Education > Computer Training School
educational_camp,Education,Education,Community and Government,12113,Community and Government > Summer Camp
educational_research_institute,Education,Education,Community and Government,12000,Community and Government
self_defense_classes,Education,Exercise/Wellness,Sports and Recreation,18000,Sports and Recreation
day_care_preschool,Education,Education,Community and Government,12056,Community and Government > Education > Preschool
private_school,Education,Education,Community and Government,12061,Community and Government > Education > Private School
life_coach,Education,Education,Community and Government,12000,Community and Government
montessori_school,Education,Education,Community and Government,12011,Community and Government > Education > Art School
first_aid_class,Education,Education,Community and Government,12000,Community and Government
vocational_and_technical_school,Education,Education,Community and Government,12057,Community and Government > Education > Primary and Secondary School
educational_services,Education,Education,Community and Government,12087,Community and Government > Organization > Social Services Organization
cooking_classes,Education,Education,Community and Government,12000,Community and Government
business_schools,Education,Education,Community and Government,12000,Community and Government
engineering_schools,Education,Education,Community and Government,12025,Community and Government > Education > College and University > College Engineering Building
preschool,Education,Education,Community and Government,12056,Community and Government > Education > Preschool
library,Education,Education,Community and Government,12031,Community and Government > Education > College and University > College Library
dui_school,Education,Education,Community and Government,12011,Community and Government > Education > Art School
religious_school,Education,Education,Community and Government,12062,Community and Government > Education > Religious School
charter_school,Education,Education,Community and Government,12011,Community and Government > Education > Art School
after_school_program,Education,Education,Community and Government,12011,Community and Government > Education > Art School
research_institute,Education,Education,Community and Government,12000,Community and Government
elementary_school,Education,Education,Community and Government,12058,Community and Government > Education > Primary and Secondary School > Elementary School
education,Education,Education,Community and Government,12009,Community and Government > Education
waldorf_school,Education,Education,Community and Government,12011,Community and Government > Education > Art School
pet_training,Education,Education,Community and Government,12049,Community and Government > Education > Computer Training School
high_school,Education,Education,Community and Government,12059,Community and Government > Education > Primary and Secondary School > High School
school_district_offices,Education,Education,Community and Government,12011,Community and Government > Education > Art School
massage_school,Education,Education,Community and Government,12011,Community and Government > Education > Art School
tasting_classes,Education,Education,Community and Government,12000,Community and Government
cycling_classes,Education,Beauty & Wellness,Business and Professional Services,11000,Business and Professional Services
student_union,Education,Education,Community and Government,12047,Community and Government > Education > College and University > Student Center
childbirth_education,Education,Education,Community and Government,12009,Community and Government > Education
language_school,Education,Education,Community and Government,12053,Community and Government > Education > Language School
university_housing,Education,Education,Community and Government,12013,Community and Government > Education > College and University
music_school,Education,Education,Community and Government,12054,Community and Government > Education > Music School
computer_coaching,Education,Education,Community and Government,12049,Community and Government > Education > Computer Training School
college_counseling,Education,Education,Community and Government,12013,Community and Government > Education > College and University
specialty_school,Education,Education,Community and Government,12011,Community and Government > Education > Art School
cosmetology_school,Education,Education,Community and Government,12011,Community and Government > Education > Art School
cooking_school,Education,Education,Community and Government,12011,Community and Government > Education > Art School
coach_bus,Education,Transportation,Travel and Transportation,19042,Travel and Transportation > Transport Hub > Bus Station
board_of_education_offices,Education,Education,Community and Government,12009,Community and Government > Education
college_university,Education,Education,Community and Government,12013,Community and Government > Education > College and University
swimming_instructor,Education,Education,Community and Government,12000,Community and Government
firearm_training,Education,Education,Community and Government,12049,Community and Government > Education > Computer Training School
photography_classes,Education,Education,Community and Government,12000,Community and Government
furniture_rental_service,Event Services,Event Services,Event,14000,Event
rental_service,Event Services,Event Services,Event,14000,Event
florist,Event Services,Event Services,Event,14000,Event
political_party_office,Event Services,Event Services,Event,14000,Event
party_equipment_rental,Event Services,Event Services,Event,14000,Event
party_character,Event Services,Event Services,Event,14000,Event
wedding_planning,Event Services,Event Services,Event,14000,Event
party_bus_rental,Event Services,Event Services,Event,14000,Event
photo_booth_rental,Event Services,Event Services,Event,14000,Event
event_planning,Event Services,Event Services,Event,14000,Event
dj_service,Event Services,Event Services,Event,14000,Event
party_and_event_planning,Event Services,Event Services,Event,14000,Event
rental_services,Event Services,Event Services,Event,14000,Event
party_bike_rental,Event Services,Event Services,Event,14000,Event
wholesale_florist,Event Services,Event Services,Event,14000,Event
balloon_services,Event Services,Event Services,Event,14000,Event
credit_union,Financial Services,Financial Services,Business and Professional Services,11051,Business and Professional Services > Financial Service > Banking and Finance > Credit Union
installment_loans,Financial Services,Financial Services,Business and Professional Services,11054,Business and Professional Services > Financial Service > Loans Agency
business_banking_service,Financial Services,Financial Services,Business and Professional Services,11044,Business and Professional Services > Financial Service > Banking and Finance > ATM
bank_credit_union,Financial Services,Financial Services,Business and Professional Services,11051,Business and Professional Services > Financial Service > Banking and Finance > Credit Union
currency_exchange,Financial Services,Financial Services,Business and Professional Services,11052,Business and Professional Services > Financial Service > Currency Exchange
livestock_breeder,Financial Services,Financial Services,Business and Professional Services,11000,Business and Professional Services
customs_broker,Financial Services,Financial Services,Business and Professional Services,11047,Business and Professional Services > Financial Service > Business Broker
debt_relief_services,Financial Services,Financial Services,Business and Professional Services,11000,Business and Professional Services
farm_insurance,Financial Services,Financial Services,Business and Professional Services,11107,Business and Professional Services > Insurance Agency
atms,Financial Services,Financial Services,Business and Professional Services,11000,Business and Professional Services
real_estate_investment,Financial Services,Financial Services,Business and Professional Services,11145,Business and Professional Services > Real Estate Service
insurance_agency,Financial Services,Financial Services,Business and Professional Services,11107,Business and Professional Services > Insurance Agency
stock_and_bond_brokers,Financial Services,Financial Services,Business and Professional Services,11055,Business and Professional Services > Financial Service > Stock Broker
abuse_and_addiction_treatment,Financial Services,Financial Services,Business and Professional Services,11176,Business and Professional Services > Water Treatment Service
banks,Financial Services,Financial Services,Business and Professional Services,11000,Business and Professional Services
water_treatment_equipment_and_services,Financial Services,Financial Services,Business and Professional Services,11176,Business and Professional Services > Water Treatment Service
alcohol_and_drug_treatment_centers,Financial Services,Financial Services,Business and Professional Services,11176,Business and Professional Services > Water Treatment Service
alcohol_and_drug_treatment_center,Financial Services,Financial Services,Business and Professional Services,11021,Business and Professional Services > Business Center
bank_equipment_service,Financial Services,Financial Services,Business and Professional Services,11037,Business and Professional Services > Equipment Rental Service
business_brokers,Financial Services,Financial Services,Business and Professional Services,11000,Business and Professional Services
life_insurance,Financial Services,Financial Services,Business and Professional Services,11107,Business and Professional Services > Insurance Agency
lice_treatment,Financial Services,Financial Services,Business and Professional Services,11176,Business and Professional Services > Water Treatment Service
tax_office,Financial Services,Financial Services,Business and Professional Services,11020,Business and Professional Services > Office > Business and Strategy Consulting Office
brokers,Financial Services,Financial Services,Business and Professional Services,11000,Business and Professional Services
pet_insurance,Financial Services,Financial Services,Business and Professional Services,11107,Business and Professional Services > Insurance Agency
cancer_treatment_center,Financial Services,Financial Services,Business and Professional Services,11021,Business and Professional Services > Business Center
mortgage_broker,Financial Services,Financial Services,Business and Professional Services,11047,Business and Professional Services > Financial Service > Business Broker
mortgage_lender,Financial Services,Financial Services,Business and Professional Services,11000,Business and Professional Services
home_and_rental_insurance,Financial Services,Financial Services,Business and Professional Services,11037,Business and Professional Services > Equipment Rental Service
check_cashing_payday_loans,Financial Services,Financial Services,Business and Professional Services,11048,Business and Professional Services > Financial Service > Check Cashing Service
bail_bonds_service,Financial Services,Financial Services,Business and Professional Services,11002,Business and Professional Services > Agriculture and Forestry Service
thai_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13352,Dining and Drinking > Restaurant > Asian Restaurant > Thai Restaurant
hookah_bar,Food & Dining,Food & Dining,Dining and Drinking,13012,Dining and Drinking > Bar > Hookah Bar
ice_cream_and_frozen_yoghurt,Food & Dining,Food & Dining,Dining and Drinking,13046,Dining and Drinking > Dessert Shop > Ice Cream Parlor
champagne_bar,Food & Dining,Food & Dining,Dining and Drinking,13008,Dining and Drinking > Bar > Champagne Bar
undersea_hyperbaric_medicine,Food & Dining,Healthcare & Medical,Health and Medicine,15000,Health and Medicine
halal_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13191,Dining and Drinking > Restaurant > Halal Restaurant
irish_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13065,Dining and Drinking > Restaurant
brasserie,Food & Dining,Food & Dining,Dining and Drinking,13152,Dining and Drinking > Restaurant > French Restaurant > Brasserie
public_phones,Food & Dining,Other Services,Business and Professional Services,11191,Business and Professional Services > Public Relations Firm
venezuelan_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13378,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Venezuelan Restaurant
eastern_european_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13139,Dining and Drinking > Restaurant > Eastern European Restaurant
specialty_foods,Food & Dining,Food & Dining,Dining and Drinking,13000,Dining and Drinking
speakeasy,Food & Dining,Food & Dining,Dining and Drinking,13021,Dining and Drinking > Bar > Speakeasy
scandinavian_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13336,Dining and Drinking > Restaurant > Scandinavian Restaurant
danish_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13065,Dining and Drinking > Restaurant
b2b_food_products,Food & Dining,Business-to-Business,Business and Professional Services,11056,Business and Professional Services > Food and Beverage Service
seafood_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13338,Dining and Drinking > Restaurant > Seafood Restaurant
fish_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13051,Dining and Drinking > Restaurant > Fish and Chips Shop
afghan_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13066,Dining and Drinking > Restaurant > Afghan Restaurant
barbecue_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13065,Dining and Drinking > Restaurant
pasta_shop,Food & Dining,Food & Dining,Dining and Drinking,13001,Dining and Drinking > Bagel Shop
honduran_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13195,Dining and Drinking > Restaurant > Latin American Restaurant > Honduran Restaurant
malaysian_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13065,Dining and Drinking > Restaurant
coffee_and_tea_supplies,Food & Dining,Business-to-Business,Business and Professional Services,11126,Business and Professional Services > Office > Corporate Coffee Shop
european_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13139,Dining and Drinking > Restaurant > Eastern European Restaurant
vermouth_bar,Food & Dining,Food & Dining,Dining and Drinking,13003,Dining and Drinking > Bar
coffee_shop,Food & Dining,Food & Dining,Dining and Drinking,13035,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop"
bartender,Food & Dining,Food & Dining,Dining and Drinking,13000,Dining and Drinking
sandwich_shop,Food & Dining,Food & Dining,Dining and Drinking,13001,Dining and Drinking > Bagel Shop
frozen_foods,Food & Dining,Food & Dining,Dining and Drinking,13044,Dining and Drinking > Dessert Shop > Frozen Yogurt Shop
argentine_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13065,Dining and Drinking > Restaurant
poke_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13193,Dining and Drinking > Restaurant > Hawaiian Restaurant > Poke Restaurant
barre_classes,Food & Dining,Beauty & Wellness,Business and Professional Services,11000,Business and Professional Services
cajun_and_creole_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13095,Dining and Drinking > Restaurant > Cajun and Creole Restaurant
food_stand,Food & Dining,Food & Dining,Dining and Drinking,13053,Dining and Drinking > Food Stand
texmex_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13065,Dining and Drinking > Restaurant
diner,Food & Dining,Food & Dining,Dining and Drinking,13049,Dining and Drinking > Restaurant > Diner
diy_foods_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13065,Dining and Drinking > Restaurant
food_consultant,Food & Dining,Food & Dining,Dining and Drinking,13052,Dining and Drinking > Food Court
food_and_beverage_exporter,Food & Dining,Food & Dining,Dining and Drinking,13052,Dining and Drinking > Food Court
gastropub,Food & Dining,Food & Dining,Dining and Drinking,13057,Dining and Drinking > Restaurant > Gastropub
barber,Food & Dining,Food & Dining,Dining and Drinking,13000,Dining and Drinking
cidery,Food & Dining,Food & Dining,Dining and Drinking,13038,Dining and Drinking > Cidery
puerto_rican_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13327,Dining and Drinking > Restaurant > Caribbean Restaurant > Puerto Rican Restaurant
armenian_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13071,Dining and Drinking > Restaurant > Armenian Restaurant
sake_bar,Food & Dining,Food & Dining,Dining and Drinking,13020,Dining and Drinking > Bar > Sake Bar
topic_publisher,Food & Dining,Food & Dining,Dining and Drinking,13000,Dining and Drinking
food_beverage_service_distribution,Food & Dining,Food & Dining,Dining and Drinking,13052,Dining and Drinking > Food Court
breakfast_and_brunch_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13095,Dining and Drinking > Restaurant > Cajun and Creole Restaurant
beer_bar,Food & Dining,Food & Dining,Dining and Drinking,13006,Dining and Drinking > Bar > Beer Bar
indo_chinese_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13099,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant
egyptian_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13140,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Egyptian Restaurant
belgian_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13077,Dining and Drinking > Restaurant > Belgian Restaurant
irish_pub,Food & Dining,Food & Dining,Dining and Drinking,13389,Dining and Drinking > Bar > Irish Pub
gluten_free_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13390,Dining and Drinking > Restaurant > Gluten-Free Restaurant
vietnamese_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13379,Dining and Drinking > Restaurant > Asian Restaurant > Vietnamese Restaurant
cheese_shop,Food & Dining,Food & Dining,Dining and Drinking,13001,Dining and Drinking > Bagel Shop
cigar_bar,Food & Dining,Food & Dining,Dining and Drinking,13003,Dining and Drinking > Bar
cuban_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13135,Dining and Drinking > Restaurant > Caribbean Restaurant > Cuban Restaurant
game_publisher,Food & Dining,Food & Dining,Dining and Drinking,13000,Dining and Drinking
sri_lankan_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13348,Dining and Drinking > Restaurant > Sri Lankan Restaurant
beach_bar,Food & Dining,Food & Dining,Dining and Drinking,13005,Dining and Drinking > Bar > Beach Bar
chicken_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13055,Dining and Drinking > Restaurant > Fried Chicken Joint
sports_bar,Food & Dining,Food & Dining,Dining and Drinking,13022,Dining and Drinking > Bar > Sports Bar
south_african_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13067,Dining and Drinking > Restaurant > African Restaurant
nicaraguan_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13065,Dining and Drinking > Restaurant
public_bath_houses,Food & Dining,Food & Dining,Dining and Drinking,13000,Dining and Drinking
african_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13067,Dining and Drinking > Restaurant > African Restaurant
bistro,Food & Dining,Food & Dining,Dining and Drinking,13027,Dining and Drinking > Restaurant > Bistro
hawaiian_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13192,Dining and Drinking > Restaurant > Hawaiian Restaurant
fish_and_chips_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13051,Dining and Drinking > Restaurant > Fish and Chips Shop
restaurant,Food & Dining,Food & Dining,Dining and Drinking,13065,Dining and Drinking > Restaurant
israeli_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13235,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Israeli Restaurant
dim_sum_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13106,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Dim Sum Restaurant
shaved_ice_shop,Food & Dining,Food & Dining,Dining and Drinking,13046,Dining and Drinking > Dessert Shop > Ice Cream Parlor
polynesian_restaurant,Food & Dining,Food & Dining,Dining and Drinking,13065,Dining and Drinking > Restaurant
restaurant_equipment_and_supply,Food & Dining,Food & Dining,Dining and Drinking,13095,Dining and Drinking > Restaurant > Cajun and Creole Restaurant
public_utility_company,Food & Dining,Food & Dining,Dining and Drinking,13000,Dining and Drinking
